;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;ÍNDICE
;;TIPO DE SEMILLA UTILIZADA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo; 379,160 ; 236,128 ; 287,880 ; 11,226 ; 6,240 ; 402,895 ; 838,822 ; 807,965 ;;
;Asociado; 33,898 ; 2,691 ; 4,456 ; 73 ;; 6,497 ; 25,898 ; 15,243 ;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 185,869 ; 99,987 ; 57,007 ; 159 ;; 262,135 ; 335,193 ; 327,985 ;;
;Asociado; 40 ;;;;;; 40 ;;;
ARVEJA SECA (GRANO SECO);Solo; 1,373 ; 156 ; 51 ;;; 376 ; 600 ; 711 ;;
;Asociado; 69 ;;;;; 64 ; 65 ; 46 ;;
ARVEJA TIERNA (EN VAINA);Solo; 1,867 ; 1,104 ; 8 ; 8 ;; 741 ; 2,266 ; 2,027 ;;
;Asociado; 146 ; 33 ;;;; 83 ; 148 ; 43 ;;
BROCOLI (REPOLLO);Solo; 470 ; 790 ; 7,434 ;; 395 ; 9,080 ; 8,997 ; 6,957 ;;
;Asociado;;;;;;;;;;
CEBADA (GRANO SECO);Solo; 7,269 ; 820 ; 98 ; 7 ; 250 ; 1,257 ; 5,679 ; 2,764 ;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4,527 ; 345 ; 72 ; 4 ;; 2,317 ; 3,285 ; 2,245 ;;
;Asociado;;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 13,497 ; 1,188 ; 174 ;; 8 ; 4,350 ; 10,616 ; 12,736 ;;
;Asociado; 10,906 ; 552 ; 51 ;;; 1,471 ; 6,661 ; 3,044 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 2,473 ; 3,387 ; 68 ; 23 ;; 4,283 ; 5,129 ; 5,309 ;;
;Asociado; 3,542 ; 135 ; 75 ; 28 ;; 491 ; 2,861 ; 2,246 ;;
HABA SECA (GRANO SECO);Solo; 1,529 ; 98 ; 19 ;;; 359 ; 864 ; 734 ;;
;Asociado; 2,145 ; 114 ;;;; 327 ; 1,460 ; 276 ;;
HABA TIERNA (EN VAINA);Solo; 3,727 ; 812 ; 346 ;; 30 ; 1,861 ; 3,696 ; 3,365 ;;
;Asociado; 1,028 ; 99 ;;;; 149 ; 545 ; 187 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 410 ; 907 ; 1,435 ; 14 ; 97 ; 2,319 ; 2,549 ; 2,547 ;;
;Asociado; 169 ; 35 ; 260 ;;; 254 ; 429 ; 260 ;;
MAÍZ DURO SECO (GRANO SECO);Solo; 44,360 ; 100,230 ; 208,527 ; 7,288 ; 5,323 ; 65,302 ; 344,857 ; 338,502 ;;
;Asociado; 1,997 ; 812 ; 4,042 ;;; 1,485 ; 5,748 ; 5,747 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 10,819 ; 1,729 ; 156 ; 11 ; 11 ; 2,877 ; 10,272 ; 9,208 ;;
;Asociado; 2,389 ; 135 ;;;; 298 ; 1,251 ; 661 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 30,603 ; 2,092 ; 111 ;;; 5,276 ; 22,878 ; 13,561 ;;
;Asociado; 8,940 ; 311 ;;;; 1,122 ; 5,224 ; 1,284 ;;
MANÍ (GRANO DESCASCARADO);Solo; 2,986 ; 212 ;;;; 538 ; 1,772 ; 2,467 ;;
;Asociado; 302 ;;;;;; 185 ; 227 ;;
PAPA (TUBÉRCULO FRESCO);Solo; 12,596 ; 4,132 ; 2,452 ;;; 6,797 ; 18,170 ; 15,953 ;;
;Asociado; 180 ; 31 ;;;; 129 ; 170 ; 81 ;;
QUINUA (GRANO SECO);Solo; 503 ; 383 ;;;; 474 ; 716 ; 389 ;;
;Asociado;;;;;;;;;;
SOYA (GRANO SECO);Solo; 14,696 ; 4,639 ; 2,614 ; 215 ;; 4,397 ; 16,617 ; 19,468 ;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo; 3,255 ; 1,234 ; 421 ; 2,567 ;; 7,477 ; 7,477 ; 7,477 ;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 448 ; 1,046 ; 336 ; 26 ; 29 ; 1,812 ; 1,790 ; 1,698 ;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo; 3,088 ; 154 ; 1,268 ;;; 595 ; 3,481 ; 3,144 ;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 14,877 ; 1,956 ; 45 ;;; 886 ; 6,507 ; 7,324 ;;
;Asociado; 898 ; 247 ;;;; 100 ; 472 ; 591 ;;
OTROS TRANSITORIOS;Solo; 17,919 ; 8,727 ; 5,239 ; 903 ; 97 ; 17,387 ; 25,413 ; 21,395 ;;
;Asociado; 1,150 ; 186 ; 28 ; 46 ;; 524 ; 639 ; 550 ;;
;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;
;;;;;;;;;;;
