ESPECIE DE FLOR;;SUPERFICIE (Has.);;Producción;Ventas (en unidades);;;;;ÍNDICE
;;Plantada o Sembrada;Cosechada o Cortada;N° total de tallos cortados;Full Tabaco;Tabaco;Bonche;Bouquet;;
TOTAL NACIONAL;Bajo invernadero;6,783;6,250;2,860,648,085;2,827,666;2,239,917;51,005,087;22,816,849;;
;En campo abierto;1,071;861;535,046,457;298,109;2,745,159;14,091,514;1,005,138;;
;;;;;;;;;;
FLORES PERMANENTES;;;;;;;;;;
TOTAL PERMANENTES;Bajo invernadero;5,854;5,329;2,655,186,686;2,668,961;2,159,827;41,158,907;15,132,311;;
;En campo abierto;602;398;288,295,711;195,993;265,538;7,584,068;4,000;;
CLAVEL;Bajo invernadero;105;81;70,650,354;27,047;;2,060,332;;;
;En campo abierto;;;;;;;;;
GINGER;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
GYSOPHILIA;Bajo invernadero;16;14;12,377,260;62,679;;;;;
;En campo abierto;218;214;214,080,221;104,886;220,900;5,314,672;;;
HELICONIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
HYPERICUM;Bajo invernadero;7;7;9,877,729;15,937;2,682;;326,095;;
;En campo abierto;65;63;46,035,887;64,008;13,986;1,560,264;;;
LIMONIUM;Bajo invernadero;14;12;2,933,604;5,991;1,719;41,348;3,133;;
;En campo abierto;8;8;8,095,447;5,862;;289,161;;;
ROSA;Bajo invernadero;5,661;5,164;2,543,781,672;2,557,307;2,106,494;38,911,310;14,414,564;;
;En campo abierto;50;26;3,825,238;;;151,477;;;
OTRAS FLORES PERMANENTES;Bajo invernadero;51;51;15,566,068;;48,932;145,917;388,519;;
;En campo abierto;261;87;16,258,918;21,237;30,652;268,494;4,000;;
;;;;;;;;;;
FLORES TRANSITORIAS;;;;;;;;;;
TOTAL TRANSITORIOS;Bajo invernadero;928;921;205,461,399;158,705;80,090;9,846,180;7,684,537;;
;En campo abierto;469;463;246,750,746;102,116;2,479,621;6,507,446;1,001,138;;
AMY;Bajo invernadero;2;2;214,000;;100;;;;
;En campo abierto;1;1;84,150;165;;;;;
ASTER;Bajo invernadero;16;15;5,582,718;;16,005;194,280;13,680;;
;En campo abierto;53;53;20,777,233;63,276;;2,500;;;
CRISANTEMOS;Bajo invernadero;55;51;21,718,944;;13,147;1,381,508;284,419;;
;En campo abierto;10;10;10,206,000;;;999,558;;;
DELPHINIUM;Bajo invernadero;32;32;9,196,704;9,790;2,872;145,248;14,895;;
;En campo abierto;43;43;8,454,309;6,975;6,325;546,854;;;
GIRASOLES;Bajo invernadero;;;;;;;;;
;En campo abierto;173;173;141,861,178;;2,464,264;402,841;486,818;;
GODETIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
LYATRIS;Bajo invernadero;;;;;;;;;
;En campo abierto;16;16;8,788,972;;;837,291;;;
OTRAS FLORES TRANSITORIAS;Bajo invernadero;824;822;168,749,033;148,915;47,966;8,125,144;7,371,543;;
;En campo abierto;175;168;56,578,904;31,700;9,032;3,718,402;514,320;;
;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;
