;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;
TOTAL NACIONAL; 4.066.930 ; 1.239.222 ; 478.467 ; 497.503 ; 263.251 ; 2.827.708 ; 543.245 ; 698.188 ; 1.586.276 ; 900.369 ;;;;;
REGIÓN SIERRA; 2.110.973 ; 646.857 ; 246.318 ; 241.316 ; 159.223 ; 1.464.116 ; 290.797 ; 331.803 ; 841.517 ; 488.522 ;;;;;
REGIÓN COSTA; 1.591.390 ; 457.801 ; 195.548 ; 188.090 ; 74.163 ; 1.133.589 ; 209.691 ; 304.974 ; 618.924 ; 337.155 ;;;;;
REGIÓN AMAZÓNICA; 364.567 ; 134.564 ; 36.601 ; 68.097 ; 29.866 ; 230.003 ; 42.757 ; 61.411 ; 125.835 ; 74.691 ;;;;;
;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;
AZUAY; 349.817 ; 93.851 ; 39.370 ; 24.855 ; 29.626 ; 255.966 ; 48.459 ; 55.796 ; 151.711 ; 83.780 ;;;;;
BOLÍVAR; 153.802 ; 47.992 ; 23.124 ; 16.033 ; 8.835 ; 105.810 ; 23.835 ; 18.888 ; 63.088 ; 43.201 ;;;;;
CAÑAR; 126.177 ; 34.777 ; 12.405 ; 10.663 ; 11.709 ; 91.401 ; 18.028 ; 22.483 ; 50.890 ; 29.059 ;;;;;
CARCHI; 76.839 ; 18.223 ; 6.688 ; 8.740 ; 2.795 ; 58.615 ; 12.299 ; 13.364 ; 32.953 ; 19.401 ;;;;;
COTOPAXI; 267.713 ; 99.083 ; 36.379 ; 43.772 ; 18.932 ; 168.631 ; 33.951 ; 37.372 ; 97.308 ; 53.795 ;;;;;
CHIMBORAZO; 282.085 ; 95.971 ; 40.576 ; 30.356 ; 25.039 ; 186.114 ; 35.391 ; 45.558 ; 105.165 ; 56.338 ;;;;;
IMBABURA; 113.892 ; 46.580 ; 12.253 ; 21.945 ; 12.382 ; 67.312 ; 13.983 ; 15.369 ; 37.960 ; 21.921 ;;;;;
LOJA; 155.608 ; 46.594 ; 19.664 ; 14.140 ; 12.790 ; 109.014 ; 22.856 ; 25.673 ; 60.485 ; 42.656 ;;;;;
PICHINCHA; 279.929 ; 56.960 ; 21.478 ; 21.321 ; 14.161 ; 222.969 ; 43.303 ; 53.923 ; 125.743 ; 73.474 ;;;;;
TUNGURAHUA; 179.287 ; 67.794 ; 20.744 ; 28.958 ; 18.091 ; 111.494 ; 23.866 ; 22.430 ; 65.197 ; 37.899 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 125.824 ; 39.034 ; 13.638 ; 20.533 ; 4.862 ; 86.790 ; 14.826 ; 20.946 ; 51.018 ; 26.997 ;;;;;
;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;
EL ORO; 139.202 ; 47.201 ; 15.693 ; 19.883 ; 11.625 ; 92.001 ; 16.891 ; 24.264 ; 50.846 ; 32.097 ;;;;;
ESMERALDAS; 272.110 ; 112.295 ; 30.261 ; 62.734 ; 19.301 ; 159.814 ; 27.817 ; 46.045 ; 85.952 ; 48.302 ;;;;;
GUAYAS; 241.109 ; 60.767 ; 30.906 ; 19.072 ; 10.789 ; 180.342 ; 34.423 ; 44.124 ; 101.796 ; 55.850 ;;;;;
LOS RÍOS; 75.501 ; 19.025 ; 9.635 ; 6.084 ; 3.306 ; 56.475 ; 10.240 ; 15.240 ; 30.996 ; 16.560 ;;;;;
MANABÍ; 862.482 ; 218.221 ; 108.945 ; 80.209 ; 29.068 ; 644.261 ; 120.189 ; 175.131 ; 348.940 ; 184.107 ;;;;;
SANTA ELENA; 986 ; 291 ; 107 ; 109 ; 75 ; 695 ; 132 ; 169 ; 394 ; 239 ;;;;;
;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;
MORONA SANTIAGO; 105.569 ; 31.540 ; 10.992 ; 12.093 ; 8.455 ; 74.029 ; 13.895 ; 19.307 ; 40.827 ; 24.445 ;;;;;
NAPO; 28.391 ; 7.012 ; 2.132 ; 2.749 ; 2.132 ; 21.378 ; 3.833 ; 5.693 ; 11.853 ; 7.443 ;;;;;
ORELLANA; 53.145 ; 24.300 ; 5.546 ; 15.539 ; 3.215 ; 28.846 ; 5.645 ; 7.073 ; 16.128 ; 7.753 ;;;;;
PASTAZA; 17.889 ; 7.493 ; 1.789 ; 4.839 ; 866 ; 10.395 ; 1.657 ; 4.314 ; 4.424 ; 2.430 ;;;;;
SUCUMBÍOS; 99.122 ; 44.036 ; 10.026 ; 23.514 ; 10.496 ; 55.086 ; 9.642 ; 14.100 ; 31.344 ; 19.169 ;;;;;
ZAMORA CHINCHIPE; 60.451 ; 20.182 ; 6.116 ; 9.364 ; 4.702 ; 40.268 ; 8.085 ; 10.924 ; 21.259 ; 13.451 ;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;;
