;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;ÍNDICE;;;
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;;;;
TOTAL NACIONAL;4.066.930;1.053.923;528.828;49.170;192.187;66.913;57.849;;;;;
REGIÓN SIERRA; 2.110.973 ; 636.335 ; 495.644 ; 38.187 ; 95.512 ; 17.666 ; 54.825 ;;;;;
REGIÓN COSTA; 1.591.390 ; 381.283 ; 31.444 ; 10.401 ; 76.358 ; 46.484 ; 2.912 ;;;;;
REGIÓN AMAZÓNICA; 364.567 ; 36.305 ; 1.739 ; 582 ; 20.318 ; 2.763 ; 112 ;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY; 349.817 ; 45.252 ; 78.085 ; 1.109 ; 20.780 ; 1.712 ; 800 ;;;;;
BOLÍVAR; 153.802 ; 39.043 ; 31.490 ; 1.152 ; 6.758 ; 3.090 ; 242 ;;;;;
CAÑAR; 126.177 ; 25.182 ; 30.852 ; 749 ; 3.996 ; 388 ; 295 ;;;;;
CARCHI; 76.839 ; 29.269 ; 2.214 ; 170 ; 2.923 ; 46 ; 123 ;;;;;
COTOPAXI; 267.713 ; 117.291 ; 106.425 ; 5.459 ; 8.809 ; 1.952 ; 680 ;;;;;
CHIMBORAZO; 282.085 ; 96.401 ; 117.330 ; 17.384 ; 14.469 ; 2.696 ; 751 ;;;;;
IMBABURA; 113.892 ; 23.499 ; 11.279 ; 1.647 ; 5.140 ; 892 ; 1.734 ;;;;;
LOJA; 155.608 ; 29.931 ; 37.771 ; 5.266 ; 8.006 ; 2.836 ; 45.727 ;;;;;
PICHINCHA; 279.929 ; 49.714 ; 24.987 ; 848 ; 16.736 ; 1.595 ; 4.431 ;;;;;
TUNGURAHUA; 179.287 ; 52.635 ; 55.074 ; 3.999 ; 5.742 ; 292 ;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 125.824 ; 128.118 ; 139 ; 406 ; 2.150 ; 2.167 ; 43 ;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO; 139.202 ; 43.459 ; 13.025 ; 514 ; 7.262 ; 1.819 ; 155 ;;;;;
ESMERALDAS; 272.110 ; 38.942 ; 2.209 ; 1.319 ; 20.220 ; 10.645 ; 520 ;;;;;
GUAYAS; 241.109 ; 90.035 ; 14.081 ; 1.275 ; 15.926 ; 2.398 ; 1.705 ;;;;;
LOS RÍOS; 75.501 ; 71.023 ; 1.037 ; 420 ; 6.471 ; 1.540 ;;;;;;
MANABÍ; 862.482 ; 121.089 ; 1.091 ; 6.846 ; 26.284 ; 30.081 ; 175 ;;;;;
SANTA ELENA; 986 ; 16.735 ;; 28 ; 195 ;; 357 ;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO; 105.569 ; 6.069 ; 392 ; 127 ; 7.523 ; 614 ; 12 ;;;;;
NAPO; 28.391 ; 4.218 ; 403 ; 9 ; 989 ; 67 ;;;;;;
ORELLANA; 53.145 ; 8.110 ; 12 ; 86 ; 2.143 ; 286 ;;;;;;
PASTAZA; 17.889 ; 3.112 ;; 93 ; 1.200 ; 79 ;;;;;;
SUCUMBÍOS; 99.122 ; 9.954 ; 386 ; 183 ; 5.703 ; 1.112 ; 100 ;;;;;
ZAMORA CHINCHIPE; 60.451 ; 4.841 ; 546 ; 84 ; 2.760 ; 605 ;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;
