;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
TIPO DE CRIANZA Y ESPECIE;Existencia 1;Ventas 2;Autoconsumo 3;;ÍNDICE;;;;
;;;;;;;;;
AVES CRIADAS EN CAMPO;;;;;;;;;
Gallos y gallinas; 4.591.351 ; 245.376 ; 1.363.907 ;;;;;;
Pollitos, Pollitas, Pollos, Pollas; 4.235.795 ; 116.206 ; 270.774 ;;;;;;
Patos; 554.094 ; 16.900 ; 36.027 ;;;;;;
Pavos; 50.787 ; 807 ; 1.672 ;;;;;;
;;;;;;;;;
AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;
Gallinas Ponedoras; 15.230.378 ; 2.117.401 ; 162 ;;;;;;
Gallinas Reproductoras; 1.383.484 ; 401.696 ; 1.371 ;;;;;;
Pollos de Engorde; 34.719.992 ; 42.447.491 ; 263.451 ;;;;;;
Avestruces; -   ; -   ; -   ;;;;;;
Pavos; 261.057 ; 273.032 ;;;;;;;
Codornices; 47.574 ; 11.500 ;;;;;;;
;;;;;;;;;
Notas:;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;
(2) (3) Para ventas y autoconsumo el período de referencia es del 1 de julio al 30 de septiembre 2021;;;;;;;;;
