;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 7.715 ; 6.005 ; 42.492 ; 41.554 ;;
REGIÓN SIERRA;; 7.187 ; 5.485 ; 34.219 ; 33.281 ;;
REGIÓN COSTA;; 527 ; 520 ; 8.273 ; 8.273 ;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 74 ; 63 ; 1.329 ; 1.329 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 44 ;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 2.450 ; 2.106 ; 16.137 ; 15.917 ;;
;Asociado; 137 ; 134 ; 515 ; 515 ;;
COTOPAXI;Solo; 107 ; 103 ; 187 ; 187 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 134 ; 64 ; 407 ; 367 ;;
;Asociado; 158 ;;;;;
IMBABURA;Solo; 1.182 ; 724 ; 3.885 ; 3.866 ;;
;Asociado; 141 ; 40 ; 232 ; 232 ;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.689 ; 1.341 ; 3.748 ; 3.483 ;;
;Asociado; 516 ; 429 ; 5.034 ; 5.034 ;;
TUNGURAHUA;Solo; 471 ; 412 ; 2.314 ; 2.186 ;;
;Asociado; 86 ; 69 ; 430 ; 165 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 4 ;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo; 524 ; 520 ; 8.273 ; 8.273 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
