;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 167.893 ; 164.085 ; 6.684.916 ; 6.470.268 ;;
REGIÓN SIERRA;; 16.943 ; 16.472 ; 404.750 ; 393.451 ;;
REGIÓN COSTA;; 150.316 ; 147.283 ; 6.278.916 ; 6.076.272 ;;
REGIÓN AMAZÓNICA;; 635 ; 329 ; 1.250 ; 544 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 94 ; 91 ; 227 ; 191 ;;
;Asociado; 78 ; 78 ; 136 ; 101 ;;
BOLÍVAR;Solo; 2.545 ; 2.529 ; 11.811 ; 10.132 ;;
;Asociado; 230 ; 225 ; 2.134 ; 2.100 ;;
CAÑAR;Solo; 3.503 ; 3.495 ; 170.670 ; 169.363 ;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 4.786 ; 4.786 ; 107.263 ; 106.806 ;;
;Asociado; 438 ; 438 ; 756 ; 756 ;;
CHIMBORAZO;Solo; 63 ; 58 ; 107 ; 97 ;;
;Asociado;;;;;;
IMBABURA;Solo; 23 ; 23 ; 132 ; 132 ;;
;Asociado;;;;;;
LOJA;Solo; 717 ; 573 ; 2.619 ; 164 ;;
;Asociado; 1.694 ; 1.404 ; 4.164 ; 401 ;;
PICHINCHA;Solo; 81 ; 81 ; 1.548 ; 1.147 ;;
;Asociado; 135 ; 135 ; 506 ; 460 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 2.554 ; 2.554 ; 102.677 ; 101.600 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 42.170 ; 41.138 ; 1.501.843 ; 1.491.445 ;;
;Asociado; 33 ; 31 ; 256 ; 20 ;;
ESMERALDAS;Solo; 198 ; 194 ; 1.888 ; 1.888 ;;
;Asociado; 171 ; 89 ; 105 ; 18 ;;
GUAYAS;Solo; 46.082 ; 45.469 ; 2.095.850 ; 2.022.251 ;;
;Asociado; 276 ; 208 ; 2.424 ; 2.238 ;;
LOS RÍOS;Solo; 54.287 ; 53.566 ; 2.563.967 ; 2.462.145 ;;
;Asociado; 2.649 ; 2.589 ; 7.389 ; 6.982 ;;
MANABÍ;Solo; 1.881 ; 1.712 ; 24.648 ; 13.937 ;;
;Asociado; 901 ; 677 ; 3.675 ; 1.080 ;;
SANTA ELENA;Solo; 1.667 ; 1.610 ; 76.872 ; 74.269 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 364 ; 259 ; 1.009 ; 510 ;;
;Asociado; 32 ; 17 ; 30 ;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado; 93 ;;;;;
PASTAZA;Solo; 76 ; 4 ; 34 ; 10 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 19 ; 19 ; 26 ;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 23 ; 23 ; 139 ; 24 ;;
;Asociado; 27 ; 8 ; 10 ;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
