;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 626.962 ; 543.547 ; 302.094 ; 301.807 ;;
REGIÓN SIERRA;; 87.864 ; 78.053 ; 42.405 ; 42.396 ;;
REGIÓN COSTA;; 478.896 ; 416.807 ; 242.163 ; 241.954 ;;
REGIÓN AMAZÓNICA;; 60.203 ; 48.687 ; 17.526 ; 17.457 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 3.530 ; 3.232 ; 1.297 ; 1.292 ;;
;Asociado; 2 ;;;;;
BOLÍVAR;Solo; 12.351 ; 11.107 ; 5.027 ; 5.027 ;;
;Asociado; 9.165 ; 8.562 ; 5.569 ; 5.569 ;;
CAÑAR;Solo; 5.272 ; 4.309 ; 1.422 ; 1.419 ;;
;Asociado;;;;;;
CARCHI;Solo; 1 ; 1 ; 0 ; 0 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 8.851 ; 8.601 ; 5.872 ; 5.872 ;;
;Asociado; 3.693 ; 3.689 ; 1.651 ; 1.651 ;;
CHIMBORAZO;Solo; 685 ; 631 ; 188 ; 188 ;;
;Asociado; 134 ; 106 ; 7 ; 7 ;;
IMBABURA;Solo; 789 ; 665 ; 307 ; 307 ;;
;Asociado; 225 ; 189 ; 138 ; 138 ;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 12.924 ; 8.698 ; 6.171 ; 6.170 ;;
;Asociado; 599 ; 361 ; 245 ; 245 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 22.135 ; 21.087 ; 11.945 ; 11.945 ;;
;Asociado; 7.506 ; 6.815 ; 2.568 ; 2.568 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 9.657 ; 8.779 ; 4.115 ; 4.114 ;;
;Asociado; 288 ; 214 ; 94 ; 94 ;;
ESMERALDAS;Solo; 92.114 ; 74.740 ; 34.249 ; 34.239 ;;
;Asociado; 10.672 ; 7.020 ; 2.421 ; 2.421 ;;
GUAYAS;Solo; 102.832 ; 96.920 ; 70.740 ; 70.565 ;;
;Asociado; 7.327 ; 5.029 ; 1.595 ; 1.595 ;;
LOS RÍOS;Solo; 120.615 ; 111.216 ; 81.529 ; 81.522 ;;
;Asociado; 10.158 ; 6.714 ; 2.148 ; 2.148 ;;
MANABÍ;Solo; 108.555 ; 93.589 ; 39.719 ; 39.704 ;;
;Asociado; 15.584 ; 11.890 ; 5.106 ; 5.105 ;;
SANTA ELENA;Solo; 681 ; 681 ; 441 ; 441 ;;
;Asociado; 413 ; 14 ; 6 ; 6 ;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 668 ; 584 ; 147 ; 142 ;;
;Asociado; 26 ; 26 ; 2 ; 2 ;;
NAPO;Solo; 13.670 ; 11.974 ; 3.850 ; 3.837 ;;
;Asociado; 825 ; 825 ; 247 ; 247 ;;
ORELLANA;Solo; 14.050 ; 10.574 ; 2.787 ; 2.787 ;;
;Asociado; 1.130 ; 591 ; 32 ; 32 ;;
PASTAZA;Solo; 66 ; 66 ; 11 ; 11 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 26.942 ; 21.592 ; 9.768 ; 9.744 ;;
;Asociado; 1.555 ; 1.292 ; 384 ; 383 ;;
ZAMORA CHINCHIPE;Solo; 1.108 ; 999 ; 283 ; 258 ;;
;Asociado; 163 ; 163 ; 15 ; 15 ;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
