;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 5.230 ; 4.178 ; 22.403 ; 21.682 ;;
REGIÓN SIERRA;; 2.491 ; 1.745 ; 11.317 ; 11.172 ;;
REGIÓN COSTA;; 2.733 ; 2.431 ; 11.047 ; 10.472 ;;
REGIÓN AMAZÓNICA;; 5 ; 3 ; 39 ; 39 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 84 ; 62 ; 327 ; 296 ;;
;Asociado; 136 ; 53 ; 128 ; 125 ;;
BOLÍVAR;Solo; 46 ; 46 ; 229 ; 228 ;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 454 ; 398 ; 2.697 ; 2.668 ;;
;Asociado; 77 ; 0 ; 0 ; 0 ;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 77 ;;;;;
;Asociado; 86 ; 24 ; 96 ; 96 ;;
IMBABURA;Solo; 230 ; 121 ; 1.192 ; 1.184 ;;
;Asociado; 44 ; 5 ; 60 ; 60 ;;
LOJA;Solo; 23 ; 21 ; 42 ; 42 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 676 ; 486 ; 3.542 ; 3.491 ;;
;Asociado; 431 ; 400 ; 1.768 ; 1.754 ;;
TUNGURAHUA;Solo; 6 ; 6 ; 20 ; 18 ;;
;Asociado; 101 ; 101 ; 1.121 ; 1.116 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 21 ; 21 ; 94 ; 93 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 143 ; 108 ; 368 ; 353 ;;
;Asociado; 565 ; 491 ; 1.452 ; 1.444 ;;
ESMERALDAS;Solo; 69 ; 36 ; 216 ; 212 ;;
;Asociado; 178 ; 178 ; 292 ; 276 ;;
GUAYAS;Solo; 124 ; 123 ; 186 ;;;
;Asociado; 4 ; 4 ; 9 ; 9 ;;
LOS RÍOS;Solo; 30 ; 30 ; 519 ; 519 ;;
;Asociado; 91 ;;;;;
MANABÍ;Solo; 1.433 ; 1.422 ; 7.768 ; 7.422 ;;
;Asociado; 12 ;;;;;
SANTA ELENA;Solo; 72 ; 40 ; 237 ; 237 ;;
;Asociado; 11 ;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 5 ; 3 ; 39 ; 39 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
