;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 18.164 ; 16.160 ; 124.167 ; 122.199 ;;
REGIÓN SIERRA;; 565 ; 305 ; 1.135 ; 1.133 ;;
REGIÓN COSTA;; 17.589 ; 15.846 ; 122.997 ; 121.039 ;;
REGIÓN AMAZÓNICA;; 10 ; 10 ; 35 ; 26 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 8 ; 6 ; 54 ; 54 ;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo; 512 ; 289 ; 1.010 ; 1.009 ;;
;Asociado; 30 ;;;;;
LOJA;Solo; 15 ; 10 ; 70 ; 70 ;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 26 ; 26 ; 101 ;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 15 ;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 16.270 ; 15.017 ; 120.007 ; 118.256 ;;
;Asociado; 147 ; 147 ; 614 ; 584 ;;
LOS RÍOS;Solo; 1.085 ; 629 ; 2.194 ; 2.117 ;;
;Asociado;;;;;;
MANABÍ;Solo; 27 ; 27 ; 81 ; 81 ;;
;Asociado;;;;;;
SANTA ELENA;Solo; 20 ;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 10 ; 10 ; 35 ; 26 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
