;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 5.242 ; 4.860 ; 32.508 ; 27.249 ;;
REGIÓN SIERRA;; 3.660 ; 3.587 ; 28.982 ; 24.808 ;;
REGIÓN COSTA;; 460 ; 460 ; 1.655 ; 1.585 ;;
REGIÓN AMAZÓNICA;; 1.122 ; 813 ; 1.871 ; 855 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo; 1.488 ; 1.480 ; 18.756 ; 16.378 ;;
;Asociado; 244 ; 244 ; 1.065 ; 915 ;;
CAÑAR;Solo; 2 ; 2 ; 4 ; 2 ;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 337 ; 337 ; 956 ; 584 ;;
;Asociado; 728 ; 723 ; 2.345 ; 2.246 ;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 828 ; 767 ; 5.829 ; 4.673 ;;
;Asociado; 34 ; 34 ; 27 ; 11 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 136 ; 136 ; 62 ; 62 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 26 ; 26 ; 57 ;;;
;Asociado;;;;;;
GUAYAS;Solo; 257 ; 257 ; 1.112 ; 1.112 ;;
;Asociado;;;;;;
LOS RÍOS;Solo; 41 ; 41 ; 424 ; 411 ;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 434 ; 320 ; 1.070 ; 693 ;;
;Asociado; 58 ; 37 ; 77 ; 24 ;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 12 ; 12 ; 33 ; 13 ;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 549 ; 388 ; 601 ; 126 ;;
;Asociado; 28 ; 28 ; 64 ;;;
ZAMORA CHINCHIPE;Solo; 41 ; 28 ; 26 ;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
