;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.439 ; 4.905 ; 206.660 ; 205.470 ;;
REGIÓN SIERRA;; 1.965 ; 1.669 ; 99.188 ; 98.210 ;;
REGIÓN COSTA;; 4.023 ; 3.007 ; 106.865 ; 106.819 ;;
REGIÓN AMAZÓNICA;; 452 ; 228 ; 608 ; 442 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 64 ; 51 ; 354 ; 296 ;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 1 ; 1 ; 3 ;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 1.900 ; 1.617 ; 98.831 ; 97.913 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 1.926 ; 911 ; 17.453 ; 17.408 ;;
;Asociado; 339 ; 339 ; 4.056 ; 4.055 ;;
LOS RÍOS;Solo; 1.758 ; 1.758 ; 85.356 ; 85.356 ;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 11 ; 11 ; 131 ; 93 ;;
;Asociado; 21 ;;;;;
NAPO;Solo; 30 ; 15 ; 28 ; 27 ;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 68 ; 25 ; 55 ; 23 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 321 ; 176 ; 395 ; 300 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
