;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 128.861 ; 112.045 ; 763.455 ; 680.161 ;;
REGIÓN SIERRA;; 30.810 ; 26.414 ; 170.229 ; 155.690 ;;
REGIÓN COSTA;; 78.509 ; 68.995 ; 520.560 ; 476.416 ;;
REGIÓN AMAZÓNICA;; 19.542 ; 16.636 ; 72.666 ; 48.055 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo; 1.262 ; 1.134 ; 5.975 ; 4.104 ;;
;Asociado; 1.421 ; 1.350 ; 11.950 ; 11.697 ;;
CAÑAR;Solo; 116 ; 92 ; 563 ; 436 ;;
;Asociado;;;;;;
CARCHI;Solo; 569 ; 405 ; 2.174 ; 1.615 ;;
;Asociado; 39 ; 7 ; 85 ;;;
COTOPAXI;Solo; 508 ; 342 ; 1.980 ; 1.658 ;;
;Asociado; 2.590 ; 2.518 ; 11.020 ; 10.927 ;;
CHIMBORAZO;Solo; 487 ; 315 ; 866 ; 312 ;;
;Asociado; 150 ; 84 ; 104 ; 58 ;;
IMBABURA;Solo; 2.705 ; 1.925 ; 13.520 ; 12.263 ;;
;Asociado; 105 ; 105 ; 278 ; 272 ;;
LOJA;Solo; 29 ; 22 ; 157 ;;;
;Asociado; 57 ; 38 ; 193 ; 115 ;;
PICHINCHA;Solo; 509 ; 439 ; 2.760 ; 1.632 ;;
;Asociado; 86 ; 86 ; 440 ; 366 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 13.543 ; 11.953 ; 90.389 ; 83.908 ;;
;Asociado; 6.635 ; 5.602 ; 27.777 ; 26.327 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 930 ; 694 ; 9.875 ; 9.170 ;;
;Asociado; 615 ; 472 ; 1.281 ; 1.150 ;;
ESMERALDAS;Solo; 3.333 ; 2.280 ; 11.039 ; 7.285 ;;
;Asociado; 4.756 ; 3.643 ; 16.919 ; 16.139 ;;
GUAYAS;Solo; 7.365 ; 7.107 ; 65.097 ; 56.500 ;;
;Asociado; 6.058 ; 5.246 ; 41.942 ; 38.997 ;;
LOS RÍOS;Solo; 5.439 ; 4.708 ; 30.355 ; 26.388 ;;
;Asociado; 3.912 ; 3.512 ; 24.347 ; 22.130 ;;
MANABÍ;Solo; 32.581 ; 29.407 ; 228.099 ; 210.739 ;;
;Asociado; 12.646 ; 11.091 ; 77.434 ; 73.781 ;;
SANTA ELENA;Solo; 871 ; 833 ; 14.146 ; 14.110 ;;
;Asociado; 2 ; 2 ; 26 ; 26 ;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 3.161 ; 2.564 ; 21.195 ; 10.816 ;;
;Asociado; 170 ; 107 ; 1.176 ; 907 ;;
NAPO;Solo; 4.829 ; 4.616 ; 19.264 ; 14.848 ;;
;Asociado; 265 ; 265 ; 975 ; 959 ;;
ORELLANA;Solo; 1.410 ; 860 ; 2.204 ; 1.662 ;;
;Asociado; 412 ; 54 ; 194 ; 121 ;;
PASTAZA;Solo; 2.114 ; 1.923 ; 8.792 ; 6.910 ;;
;Asociado; 174 ; 101 ; 527 ; 397 ;;
SUCUMBÍOS;Solo; 4.136 ; 3.596 ; 11.573 ; 7.071 ;;
;Asociado; 997 ; 837 ; 1.272 ; 312 ;;
ZAMORA CHINCHIPE;Solo; 1.231 ; 1.151 ; 4.214 ; 2.960 ;;
;Asociado; 644 ; 563 ; 1.279 ; 1.093 ;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
