;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 1.347 ; 1.202 ; 424 ; 192 ;;
REGIÓN SIERRA;; 1.347 ; 1.202 ; 424 ; 192 ;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 8 ; 8 ; 11 ;;;
;Asociado; 33 ; 22 ; 1 ; 0 ;;
BOLÍVAR;Solo; 171 ; 162 ; 51 ; 15 ;;
;Asociado;;;;;;
CAÑAR;Solo; 1 ; 1 ; 1 ;;;
;Asociado;;;;;;
CARCHI;Solo; 158 ; 156 ; 104 ; 59 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 154 ; 113 ; 68 ; 21 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 382 ; 366 ; 116 ; 65 ;;
;Asociado; 2 ;;;;;
IMBABURA;Solo; 132 ; 73 ; 28 ; 14 ;;
;Asociado; 14 ; 14 ; 4 ;;;
LOJA;Solo; 216 ; 216 ; 21 ; 14 ;;
;Asociado; 37 ; 37 ; 2 ; 1 ;;
PICHINCHA;Solo; 26 ; 25 ; 14 ; 5 ;;
;Asociado; 6 ; 3 ; 0 ;;;
TUNGURAHUA;Solo; 6 ; 6 ; 2 ;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
;;;;;;;
