;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.544 ; 5.762 ; 17.257 ; 16.308 ;;
REGIÓN SIERRA;; 6.543 ; 5.762 ; 17.254 ; 16.307 ;;
REGIÓN COSTA;; 1 ; 1 ; 2 ; 1 ;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 277 ; 275 ; 430 ; 226 ;;
;Asociado; 55 ; 53 ; 33 ; 2 ;;
BOLÍVAR;Solo; 137 ; 114 ; 94 ; 34 ;;
;Asociado;;;;;;
CAÑAR;Solo; 112 ; 109 ; 196 ; 163 ;;
;Asociado; 27 ; 27 ; 22 ;;;
CARCHI;Solo; 2.648 ; 2.544 ; 9.811 ; 9.778 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 130 ; 89 ; 137 ; 100 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 910 ; 799 ; 2.135 ; 2.027 ;;
;Asociado; 256 ; 62 ; 75 ; 25 ;;
IMBABURA;Solo; 1.178 ; 961 ; 2.855 ; 2.734 ;;
;Asociado; 36 ; 22 ; 28 ;;;
LOJA;Solo; 10 ; 9 ; 6 ; 5 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 302 ; 252 ; 399 ; 256 ;;
;Asociado; 65 ; 65 ; 39 ; 21 ;;
TUNGURAHUA;Solo; 286 ; 274 ; 770 ; 729 ;;
;Asociado; 115 ; 109 ; 223 ; 209 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 1 ; 1 ; 2 ; 1 ;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
