;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 4.845 ; 4.775 ; 12.191 ; 11.750 ;;
REGIÓN SIERRA;; 4.845 ; 4.775 ; 12.191 ; 11.750 ;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 3 ; 3 ; 4 ; 4 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 28 ; 28 ; 31 ; 24 ;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 32 ; 32 ; 449 ; 448 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 358 ; 310 ; 692 ; 545 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 1.191 ; 1.187 ; 4.299 ; 4.103 ;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo; 130 ; 115 ; 561 ; 561 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 2.080 ; 2.080 ; 3.651 ; 3.607 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 1.023 ; 1.020 ; 2.505 ; 2.458 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
