;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 9.514 ; 9.123 ; 17.677 ; 16.398 ;;
REGIÓN SIERRA;; 4.611 ; 4.341 ; 9.448 ; 8.473 ;;
REGIÓN COSTA;; 4.859 ; 4.738 ; 8.167 ; 7.894 ;;
REGIÓN AMAZÓNICA;; 44 ; 44 ; 63 ; 31 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 96 ; 96 ; 190 ; 162 ;;
;Asociado; 503 ; 474 ; 482 ; 229 ;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo; 108 ; 108 ; 370 ; 359 ;;
;Asociado; 101 ; 96 ; 63 ;;;
CARCHI;Solo; 274 ; 271 ; 1.125 ; 1.119 ;;
;Asociado; 132 ; 116 ; 211 ; 208 ;;
COTOPAXI;Solo;;;;;;
;Asociado; 66 ; 39 ; 55 ; 19 ;;
CHIMBORAZO;Solo; 1.172 ; 1.166 ; 2.891 ; 2.873 ;;
;Asociado; 121 ; 116 ; 137 ; 135 ;;
IMBABURA;Solo; 532 ; 510 ; 1.791 ; 1.637 ;;
;Asociado; 237 ; 234 ; 178 ; 6 ;;
LOJA;Solo; 165 ; 165 ; 292 ; 274 ;;
;Asociado; 266 ; 203 ; 125 ; 9 ;;
PICHINCHA;Solo; 165 ; 158 ; 460 ; 446 ;;
;Asociado; 395 ; 326 ; 156 ; 88 ;;
TUNGURAHUA;Solo; 168 ; 160 ; 726 ; 716 ;;
;Asociado; 104 ; 97 ; 193 ; 193 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado; 6 ; 6 ; 4 ;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 83 ; 83 ; 94 ; 94 ;;
;Asociado; 11 ; 11 ; 5 ; 5 ;;
ESMERALDAS;Solo; 17 ; 17 ; 8 ; 8 ;;
;Asociado;;;;;;
GUAYAS;Solo; 1.094 ; 1.094 ; 1.931 ; 1.825 ;;
;Asociado; 823 ; 823 ; 586 ; 551 ;;
LOS RÍOS;Solo; 393 ; 356 ; 1.781 ; 1.775 ;;
;Asociado; 1.001 ; 955 ; 1.737 ; 1.717 ;;
MANABÍ;Solo; 197 ; 158 ; 137 ; 90 ;;
;Asociado; 1.241 ; 1.241 ; 1.886 ; 1.828 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 24 ; 24 ; 13 ;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 20 ; 20 ; 50 ; 31 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
