;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 7.089 ; 6.475 ; 24.645 ; 22.617 ;;
REGIÓN SIERRA;; 5.741 ; 5.341 ; 23.062 ; 21.120 ;;
REGIÓN COSTA;; 1.349 ; 1.134 ; 1.583 ; 1.497 ;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 38 ; 35 ; 28 ; 8 ;;
;Asociado; 308 ; 268 ; 74 ; 5 ;;
BOLÍVAR;Solo; 37 ; 37 ; 24 ; 14 ;;
;Asociado;;;;;;
CAÑAR;Solo; 101 ; 101 ; 130 ; 105 ;;
;Asociado; 100 ; 100 ; 56 ;;;
CARCHI;Solo; 1.509 ; 1.440 ; 12.094 ; 11.916 ;;
;Asociado; 10 ; 6 ; 1 ;;;
COTOPAXI;Solo; 545 ; 493 ; 1.418 ; 1.047 ;;
;Asociado; 60 ; 60 ; 91 ; 51 ;;
CHIMBORAZO;Solo; 777 ; 722 ; 2.567 ; 2.331 ;;
;Asociado; 47 ; 47 ; 43 ; 8 ;;
IMBABURA;Solo; 412 ; 405 ; 1.204 ; 1.142 ;;
;Asociado; 118 ; 118 ; 100 ; 66 ;;
LOJA;Solo; 11 ; 11 ; 8 ; 8 ;;
;Asociado; 7 ; 7 ; 4 ;;;
PICHINCHA;Solo; 415 ; 411 ; 1.149 ; 842 ;;
;Asociado; 236 ; 203 ; 98 ; 82 ;;
TUNGURAHUA;Solo; 961 ; 831 ; 3.884 ; 3.458 ;;
;Asociado; 43 ; 42 ; 85 ; 35 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado; 6 ; 6 ; 4 ;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 296 ; 134 ; 36 ; 29 ;;
;Asociado;;;;;;
GUAYAS;Solo; 58 ; 58 ; 36 ; 34 ;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo; 940 ; 921 ; 1.465 ; 1.395 ;;
;Asociado; 47 ; 13 ; 10 ; 2 ;;
SANTA ELENA;Solo; 8 ; 8 ; 36 ; 36 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
