;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 4.254 ; 4.139 ; 22.404 ; 18.401 ;;
REGIÓN SIERRA;; 411 ; 355 ; 2.596 ; 198 ;;
REGIÓN COSTA;; 2.966 ; 2.907 ; 18.440 ; 17.828 ;;
REGIÓN AMAZÓNICA;; 878 ; 878 ; 1.369 ; 374 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 5 ; 3 ; 2 ;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 76 ; 23 ; 6 ; 4 ;;
;Asociado; 37 ; 37 ; 12 ;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo; 59 ; 59 ; 86 ; 64 ;;
;Asociado; 27 ; 27 ; 16 ;;;
PICHINCHA;Solo; 13 ; 13 ; 36 ; 24 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 193 ; 193 ; 2.437 ; 105 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 102 ; 102 ; 333 ; 299 ;;
;Asociado; 3 ; 3 ; 1 ; 1 ;;
ESMERALDAS;Solo; 74 ; 15 ; 5 ;;;
;Asociado;;;;;;
GUAYAS;Solo; 695 ; 695 ; 4.035 ; 3.766 ;;
;Asociado; 72 ; 72 ; 39 ; 39 ;;
LOS RÍOS;Solo; 188 ; 188 ; 451 ; 439 ;;
;Asociado; 4 ; 4 ; 1 ;;;
MANABÍ;Solo; 1.617 ; 1.617 ; 11.763 ; 11.490 ;;
;Asociado; 72 ; 72 ; 157 ; 141 ;;
SANTA ELENA;Solo; 139 ; 139 ; 1.653 ; 1.653 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 175 ; 175 ; 144 ; 62 ;;
;Asociado;;;;;;
NAPO;Solo; 11 ; 11 ; 52 ; 5 ;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 541 ; 541 ; 1.029 ; 176 ;;
;Asociado; 151 ; 151 ; 144 ; 132 ;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
