;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;;
;; Sembrada ; Cosechada ;;;;;;;
TOTAL NACIONAL;; 373.587 ; 366.138 ; 1.699.370 ; 1.649.098 ;;;;;
REGIÓN SIERRA;; 26.679 ; 25.431 ; 80.259 ; 64.946 ;;;;;
REGIÓN COSTA;; 325.629 ; 319.907 ; 1.581.313 ; 1.550.361 ;;;;;
REGIÓN AMAZÓNICA;; 21.279 ; 20.800 ; 37.798 ; 33.790 ;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo; 538 ; 460 ; 490 ; 81 ;;;;;
;Asociado; 105 ; 99 ; 87 ; 3 ;;;;;
BOLÍVAR;Solo; 162 ; 149 ; 602 ; 591 ;;;;;
;Asociado; 239 ; 239 ; 653 ; 653 ;;;;;
CAÑAR;Solo; 824 ; 810 ; 701 ; 252 ;;;;;
;Asociado; 20 ; 20 ; 20 ; 0 ;;;;;
CARCHI;Solo; 1.182 ; 1.096 ; 2.735 ; 2.515 ;;;;;
;Asociado; 88 ; 57 ; 25 ; 4 ;;;;;
COTOPAXI;Solo; 45 ; 39 ; 70 ; 62 ;;;;;
;Asociado; 15 ; 7 ; 5 ;;;;;;
CHIMBORAZO;Solo; 1.165 ; 1.046 ; 940 ; 577 ;;;;;
;Asociado; 73 ; 57 ; 39 ; 9 ;;;;;
IMBABURA;Solo; 366 ; 319 ; 482 ; 383 ;;;;;
;Asociado; 23 ; 23 ; 12 ;;;;;;
LOJA;Solo; 19.789 ; 19.034 ; 66.189 ; 56.770 ;;;;;
;Asociado; 206 ; 179 ; 314 ; 102 ;;;;;
PICHINCHA;Solo; 270 ; 228 ; 166 ; 156 ;;;;;
;Asociado; 88 ; 88 ; 68 ;;;;;;
TUNGURAHUA;Solo; 15 ; 15 ; 43 ; 42 ;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 1.183 ; 1.183 ; 6.375 ; 2.578 ;;;;;
;Asociado; 282 ; 282 ; 242 ; 167 ;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo; 3.250 ; 3.045 ; 9.915 ; 8.619 ;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo; 1.714 ; 1.524 ; 4.270 ; 3.641 ;;;;;
;Asociado; 131 ; 131 ; 397 ; 298 ;;;;;
GUAYAS;Solo; 51.715 ; 50.551 ; 250.981 ; 246.429 ;;;;;
;Asociado; 1.089 ; 1.019 ; 3.362 ; 3.201 ;;;;;
LOS RÍOS;Solo; 149.030 ; 148.257 ; 767.096 ; 762.807 ;;;;;
;Asociado; 3.387 ; 3.299 ; 14.919 ; 14.577 ;;;;;
MANABÍ;Solo; 105.633 ; 102.493 ; 486.679 ; 468.836 ;;;;;
;Asociado; 5.772 ; 5.697 ; 20.385 ; 18.643 ;;;;;
SANTA ELENA;Solo; 3.758 ; 3.742 ; 22.500 ; 22.500 ;;;;;
;Asociado; 148 ; 148 ; 809 ; 809 ;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo; 1.425 ; 1.323 ; 1.352 ; 744 ;;;;;
;Asociado; 64 ; 64 ; 82 ; 21 ;;;;;
NAPO;Solo; 2.196 ; 1.972 ; 2.622 ; 2.118 ;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo; 6.081 ; 6.079 ; 11.746 ; 11.173 ;;;;;
;Asociado; 243 ; 241 ; 122 ; 98 ;;;;;
PASTAZA;Solo; 77 ; 77 ; 102 ; 80 ;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo; 9.767 ; 9.619 ; 20.780 ; 18.847 ;;;;;
;Asociado; 504 ; 504 ; 455 ; 387 ;;;;;
ZAMORA CHINCHIPE;Solo; 739 ; 737 ; 520 ; 319 ;;;;;
;Asociado; 185 ; 185 ; 17 ; 3 ;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
