;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE;
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;;
TOTAL NACIONAL;Solo; 67.446 ; 611 ; 1.351 ; 34.453 ; 4.981 ; 974 ; 25.075 ;;;
;Asociado; 10.503 ; 98 ; 402 ; 6.026 ; 854 ; 70 ; 3.053 ;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 239 ; 16 ;; 41 ; 76 ;; 105 ;;;
;Asociado; 3 ;;;; 3 ;;;;;
BANANO (FRUTA FRESCA);Solo; 1.097 ; 136 ; 23 ; 95 ; 123 ; 7 ; 713 ;;;
;Asociado; 338 ; 25 ; 86 ; 6 ; 45 ; 16 ; 160 ;;;
CACAO (ALMENDRA SECA);Solo; 18.447 ; 284 ; 973 ; 5.746 ; 1.677 ; 538 ; 9.229 ;;;
;Asociado; 2.111 ; 17 ; 60 ; 899 ; 195 ;; 940 ;;;
CAFÉ (GRANO ORO);Solo; 1.638 ; 34 ; 42 ; 794 ; 43 ;; 724 ;;;
;Asociado; 919 ; 29 ; 8 ; 78 ; 23 ; 17 ; 763 ;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 28 ;; 18 ;;;; 10 ;;;
;Asociado;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 446 ; 1 ;; 163 ;;; 281 ;;;
;Asociado;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 230 ; 9 ;;; 15 ;; 205 ;;;
;Asociado; 109 ; 5 ;; 82 ; 18 ;; 4 ;;;
MANGO (FRUTA FRESCA);Solo; 127 ;;; 6 ;;; 121 ;;;
;Asociado;;;;;;;;;;
MARACUYÁ (FRUTA FRESCA);Solo; 440 ;; 0 ; 116 ; 126 ;; 199 ;;;
;Asociado; 43 ;;; 40 ;;; 3 ;;;
NARANJA (FRUTA FRESCA);Solo; 233 ;;; 24 ;; 24 ; 185 ;;;
;Asociado; 790 ;; 181 ;;;; 609 ;;;
ORITO (FRUTA FRESCA);Solo; 107 ;;; 24 ; 1 ; 8 ; 74 ;;;
;Asociado; 21 ;;;;; 21 ;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 32.484 ;;; 24.132 ; 2.288 ; 239 ; 5.825 ;;;
;Asociado; 4.769 ;;; 4.183 ; 492 ;; 94 ;;;
PALMITO (TALLO FRESCO);Solo; 80 ;;; 24 ; 2 ;; 54 ;;;
;Asociado;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 52 ;;; 39 ; 13 ;;;;;
;Asociado;;;;;;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 3.895 ; 118 ; 250 ; 1.827 ; 357 ; 151 ; 1.192 ;;;
;Asociado; 909 ; 22 ; 57 ; 591 ; 68 ; 16 ; 155 ;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 123 ;; 7 ; 95 ; 21 ;; 1 ;;;
;Asociado; 14 ;;; 14 ;;;;;;
OTROS PERMANENTES;Solo; 7.781 ; 11 ; 38 ; 1.327 ; 241 ; 7 ; 6.157 ;;;
;Asociado; 478 ;; 10 ; 132 ; 10 ;; 326 ;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
