;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 24.469 ; 22.584 ; 84.818 ; 74.674 ;;
REGIÓN SIERRA;; 24.297 ; 22.413 ; 83.945 ; 73.833 ;;
REGIÓN COSTA;; 167 ; 167 ; 869 ; 841 ;;
REGIÓN AMAZÓNICA;; 5 ; 5 ; 4 ;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 199 ; 199 ; 227 ; 40 ;;
;Asociado; 462 ; 432 ; 753 ; 342 ;;
BOLÍVAR;Solo; 11.436 ; 11.348 ; 47.520 ; 46.176 ;;
;Asociado; 20 ; 20 ; 81 ; 81 ;;
CAÑAR;Solo; 103 ; 103 ; 83 ; 40 ;;
;Asociado; 100 ; 99 ; 64 ; 2 ;;
CARCHI;Solo; 699 ; 645 ; 2.073 ; 2.005 ;;
;Asociado; 10 ; 6 ; 1 ;;;
COTOPAXI;Solo; 1.284 ; 1.023 ; 3.015 ; 1.984 ;;
;Asociado; 188 ; 165 ; 401 ; 185 ;;
CHIMBORAZO;Solo; 2.354 ; 1.534 ; 5.069 ; 3.607 ;;
;Asociado; 104 ; 40 ; 69 ; 29 ;;
IMBABURA;Solo; 1.286 ; 1.234 ; 3.231 ; 2.574 ;;
;Asociado; 235 ; 233 ; 506 ; 73 ;;
LOJA;Solo; 243 ; 228 ; 296 ; 108 ;;
;Asociado; 181 ; 168 ; 160 ;;;
PICHINCHA;Solo; 2.754 ; 2.570 ; 8.113 ; 6.352 ;;
;Asociado; 302 ; 233 ; 277 ; 23 ;;
TUNGURAHUA;Solo; 1.917 ; 1.730 ; 10.231 ; 9.451 ;;
;Asociado; 269 ; 253 ; 822 ; 716 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 151 ; 151 ; 955 ; 46 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado; 11 ; 11 ; 18 ; 18 ;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 65 ; 65 ; 401 ; 401 ;;
;Asociado;;;;;;
LOS RÍOS;Solo; 13 ; 13 ; 73 ; 73 ;;
;Asociado;;;;;;
MANABÍ;Solo; 78 ; 78 ; 378 ; 349 ;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 5 ; 5 ; 4 ;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
