;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.681 ; 6.668 ; 6.892 ; 6.356 ;;
REGIÓN SIERRA;; 268 ; 268 ; 291 ; 267 ;;
REGIÓN COSTA;; 6.195 ; 6.183 ; 6.471 ; 6.016 ;;
REGIÓN AMAZÓNICA;; 217 ; 217 ; 129 ; 73 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo; 242 ; 242 ; 290 ; 267 ;;
;Asociado; 26 ; 26 ; 1 ;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 29 ; 29 ; 24 ; 21 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 14 ; 14 ; 2 ; 1 ;;
;Asociado;;;;;;
GUAYAS;Solo; 2.329 ; 2.326 ; 1.823 ; 1.591 ;;
;Asociado; 173 ; 173 ; 62 ; 51 ;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo; 3.120 ; 3.110 ; 3.896 ; 3.698 ;;
;Asociado; 529 ; 529 ; 664 ; 654 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 85 ; 85 ; 61 ; 46 ;;
;Asociado; 25 ; 25 ; 4 ; 4 ;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 17 ; 17 ; 23 ; 23 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 91 ; 91 ; 41 ;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
