;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 20.950 ; 19.088 ; 244.749 ; 219.551 ;;
REGIÓN SIERRA;; 20.790 ; 18.940 ; 244.396 ; 219.370 ;;
REGIÓN COSTA;; 155 ; 143 ; 325 ; 158 ;;
REGIÓN AMAZÓNICA;; 6 ; 6 ; 28 ; 22 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 1.693 ; 1.626 ; 7.859 ; 6.608 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 2.935 ; 2.933 ; 13.323 ; 9.021 ;;
;Asociado;;;;;;
CAÑAR;Solo; 913 ; 884 ; 4.949 ; 4.186 ;;
;Asociado; 24 ; 23 ; 74 ; 67 ;;
CARCHI;Solo; 4.072 ; 4.021 ; 101.007 ; 96.613 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 2.824 ; 2.317 ; 29.739 ; 26.603 ;;
;Asociado; 27 ; 27 ; 139 ; 119 ;;
CHIMBORAZO;Solo; 3.297 ; 2.495 ; 25.171 ; 21.807 ;;
;Asociado; 102 ; 61 ; 237 ; 174 ;;
IMBABURA;Solo; 395 ; 395 ; 4.584 ; 3.616 ;;
;Asociado; 27 ; 27 ; 552 ; 526 ;;
LOJA;Solo; 90 ; 88 ; 267 ; 65 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.799 ; 1.710 ; 25.032 ; 22.521 ;;
;Asociado; 6 ; 3 ; 14 ;;;
TUNGURAHUA;Solo; 2.547 ; 2.289 ; 31.121 ; 27.152 ;;
;Asociado; 41 ; 41 ; 328 ; 295 ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 133 ; 127 ; 276 ; 129 ;;
;Asociado; 22 ; 16 ; 49 ; 29 ;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado; 6 ; 6 ; 28 ; 22 ;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
