;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.202 ; 6.038 ; 10.898 ; 8.323 ;;
REGIÓN SIERRA;; 6.169 ; 6.005 ; 10.891 ; 8.323 ;;
REGIÓN COSTA;; 33 ; 33 ; 7 ;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 177 ; 164 ; 70 ; 18 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 1.354 ; 1.332 ; 2.001 ; 1.380 ;;
;Asociado;;;;;;
CAÑAR;Solo; 2 ; 2 ; 3 ;;;
;Asociado;;;;;;
CARCHI;Solo; 2.325 ; 2.325 ; 6.042 ; 5.413 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 328 ; 256 ; 192 ; 16 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 431 ; 418 ; 329 ; 97 ;;
;Asociado;;;;;;
IMBABURA;Solo; 266 ; 265 ; 370 ; 301 ;;
;Asociado;;;;;;
LOJA;Solo; 25 ; 25 ; 12 ; 5 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.253 ; 1.211 ; 1.864 ; 1.093 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 6 ; 6 ; 9 ;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 33 ; 33 ; 7 ;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
