;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 18.631 ; 17.475 ; 96.210 ; 71.048 ;;
REGIÓN SIERRA;; 5.125 ; 5.003 ; 28.065 ; 26.420 ;;
REGIÓN COSTA;; 5.514 ; 4.954 ; 41.142 ; 32.139 ;;
REGIÓN AMAZÓNICA;; 7.992 ; 7.518 ; 27.004 ; 12.489 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 58 ; 58 ; 227 ; 148 ;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado; 25 ; 25 ; 58 ;;;
CAÑAR;Solo; 125 ; 125 ; 119 ; 80 ;;
;Asociado;;;;;;
CARCHI;Solo; 20 ; 20 ; 161 ; 154 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 574 ; 574 ; 3.996 ; 3.988 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 26 ; 26 ; 121 ; 115 ;;
;Asociado;;;;;;
IMBABURA;Solo; 368 ; 347 ; 2.123 ; 1.686 ;;
;Asociado; 2 ; 2 ; 7 ;;;
LOJA;Solo; 200 ; 198 ; 488 ; 249 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 207 ; 207 ; 443 ; 233 ;;
;Asociado; 46 ; 46 ; 66 ;;;
TUNGURAHUA;Solo; 3 ; 3 ; 28 ; 27 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 3.295 ; 3.229 ; 19.603 ; 19.120 ;;
;Asociado; 174 ; 142 ; 626 ; 622 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 38 ; 38 ; 251 ; 240 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 7 ; 7 ; 16 ;;;
;Asociado; 24 ; 24 ; 30 ; 29 ;;
GUAYAS;Solo; 23 ; 23 ; 35 ; 35 ;;
;Asociado;;;;;;
LOS RÍOS;Solo; 3.138 ; 3.138 ; 26.804 ; 26.618 ;;
;Asociado;;;;;;
MANABÍ;Solo; 1.402 ; 841 ; 5.952 ; 2.165 ;;
;Asociado; 883 ; 883 ; 8.053 ; 3.051 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 1.844 ; 1.536 ; 5.149 ; 2.603 ;;
;Asociado; 627 ; 588 ; 1.832 ; 428 ;;
NAPO;Solo; 1.956 ; 1.956 ; 5.091 ; 2.157 ;;
;Asociado;;;;;;
ORELLANA;Solo; 653 ; 608 ; 1.212 ; 266 ;;
;Asociado; 111 ; 74 ; 101 ;;;
PASTAZA;Solo; 1.121 ; 1.121 ; 7.276 ; 2.212 ;;
;Asociado; 261 ; 261 ; 858 ; 143 ;;
SUCUMBÍOS;Solo; 602 ; 563 ; 4.368 ; 4.085 ;;
;Asociado; 24 ; 20 ; 15 ; 4 ;;
ZAMORA CHINCHIPE;Solo; 435 ; 435 ; 763 ; 413 ;;
;Asociado; 356 ; 356 ; 341 ; 179 ;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
