;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;ÍNDICE;
;;EDAD DE LA PLANTACIÓN;;;TIPO SE SEMILLA UTILIZADA;;;;PRÁCTICA DE CULTIVO;;;;;
;;Menos de 10 años;De 10 a menos de 20 años;De 20 años y más;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;;
TOTAL NACIONAL;Solo; 709.345 ; 290.761 ; 329.527 ; 531.236 ; 587.844 ; 161.000 ; 49.552 ; 510.829 ; 796.351 ; 862.991 ;;;
;Asociado; 98.362 ; 28.032 ; 42.641 ; 88.595 ; 67.082 ; 13.174 ; 183 ; 24.590 ; 67.362 ; 84.606 ;;;
;;;;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 3.746 ; 1.164 ; 1.768 ; 2.144 ; 4.387 ; 134 ; 12 ; 5.689 ; 4.946 ; 4.443 ;;;
;Asociado; 960 ; 50 ; 28 ; 191 ; 810 ;; 36 ; 905 ; 894 ; 744 ;;;
BANANO (FRUTA FRESCA);Solo; 33.914 ; 28.535 ; 98.701 ; 85.098 ; 67.240 ; 5.094 ; 3.719 ; 150.163 ; 147.958 ; 140.272 ;;;
;Asociado; 2.295 ; 643 ; 3.804 ; 6.662 ; 40 ;; 40 ; 658 ; 1.002 ; 1.539 ;;;
CACAO (ALMENDRA SECA);Solo; 295.440 ; 129.142 ; 132.914 ; 152.080 ; 324.039 ; 79.326 ; 2.051 ; 138.097 ; 268.968 ; 334.670 ;;;
;Asociado; 41.628 ; 11.676 ; 16.163 ; 18.784 ; 40.672 ; 10.011 ;; 9.443 ; 31.713 ; 39.114 ;;;
CAFÉ (GRANO ORO);Solo; 20.194 ; 4.537 ; 3.961 ; 12.957 ; 13.711 ; 1.558 ; 467 ; 1.401 ; 5.315 ; 9.420 ;;;
;Asociado; 2.932 ; 1.075 ; 2.231 ; 4.193 ; 1.281 ; 765 ;; 384 ; 1.456 ; 1.554 ;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 117.572 ; 9.540 ; 3.565 ; 55.695 ; 74.763 ; 219 ;; 130.677 ; 128.596 ; 124.954 ;;;
;Asociado;;;;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 11.725 ; 4.964 ; 4.399 ; 18.202 ; 2.509 ; 139 ; 237 ; 2.112 ; 3.671 ; 6.154 ;;;
;Asociado;;;;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 2.551 ; 761 ; 180 ; 1.758 ; 1.679 ; 55 ;; 2.780 ; 1.842 ; 2.458 ;;;
;Asociado; 1.044 ; 538 ; 155 ; 393 ; 1.314 ; 30 ;; 1.338 ; 1.057 ; 1.147 ;;;
MANGO (FRUTA FRESCA);Solo; 2.784 ; 3.143 ; 12.060 ; 6.055 ; 5.216 ; 2.441 ; 4.275 ; 10.057 ; 7.070 ; 8.244 ;;;
;Asociado; 76 ; 101 ;; 147 ;; 30 ;; 58 ; 52 ; 52 ;;;
MARACUYÁ (FRUTA FRESCA);Solo; 9.986 ;;; 5.940 ; 3.951 ; 48 ; 47 ; 1.752 ; 6.397 ; 7.528 ;;;
;Asociado; 3.935 ;;; 2.051 ; 1.832 ;; 53 ; 225 ; 2.676 ; 2.793 ;;;
NARANJA (FRUTA FRESCA);Solo; 1.566 ; 1.004 ; 1.287 ; 2.216 ; 1.636 ; 6 ;; 381 ; 1.929 ; 1.896 ;;;
;Asociado; 5.871 ; 3.008 ; 6.885 ; 10.330 ; 5.325 ; 110 ;; 2.500 ; 3.790 ; 6.926 ;;;
ORITO (FRUTA FRESCA);Solo; 1.828 ; 1.121 ; 1.200 ; 3.779 ; 370 ;;; 174 ; 1.032 ; 2.458 ;;;
;Asociado; 268 ; 41 ; 783 ; 1.087 ; 5 ;;;; 164 ; 363 ;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 96.869 ; 75.656 ; 40.702 ; 52.450 ; 55.895 ; 68.551 ; 36.332 ; 38.655 ; 144.817 ; 134.406 ;;;
;Asociado; 7.700 ; 1.501 ; 3.147 ; 1.760 ; 8.565 ; 1.970 ; 53 ;; 2.577 ; 2.195 ;;;
PALMITO (TALLO FRESCO);Solo; 477 ; 2.587 ; 1.268 ; 2.549 ; 1.784 ;;;; 4.062 ; 3.832 ;;;
;Asociado;;;;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 4.320 ; 1 ; 1.758 ; 4.326 ; 1.525 ; 82 ; 145 ; 3.495 ; 5.617 ; 5.660 ;;;
;Asociado; 316 ; 44 ;; 360 ;;;; 168 ; 339 ; 339 ;;;
PLÁTANO (FRUTA FRESCA);Solo; 56.062 ; 17.971 ; 13.094 ; 74.329 ; 12.153 ; 592 ; 54 ; 10.454 ; 33.695 ; 42.494 ;;;
;Asociado; 27.047 ; 7.870 ; 6.817 ; 36.152 ; 5.325 ; 257 ;; 5.702 ; 17.182 ; 22.270 ;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 1.662 ;;; 922 ; 723 ; 0 ; 17 ; 674 ; 1.502 ; 1.336 ;;;
;Asociado; 337 ;;; 89 ; 248 ;;; 212 ; 302 ; 286 ;;;
OTROS PERMANENTES;Solo; 48.648 ; 10.633 ; 12.670 ; 50.737 ; 16.263 ; 2.755 ; 2.197 ; 14.267 ; 28.934 ; 32.766 ;;;
;Asociado; 3.950 ; 1.486 ; 2.627 ; 6.396 ; 1.666 ; 0 ; 2 ; 2.997 ; 4.159 ; 5.283 ;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
