;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 244.883 ; 152.852 ; 59.971 ; 75.204 ; 17.677 ; 92.031 ; 25.623 ; 30.232 ; 36.176 ;;;;;
REGIÓN SIERRA; 171.660 ; 104.775 ; 47.622 ; 44.926 ; 12.227 ; 66.886 ; 20.738 ; 20.142 ; 26.005 ;;;;;
REGIÓN COSTA; 55.604 ; 36.009 ; 9.907 ; 21.862 ; 4.240 ; 19.595 ; 3.838 ; 7.762 ; 7.994 ;;;;;
REGIÓN AMAZÓNICA; 17.618 ; 12.068 ; 2.442 ; 8.416 ; 1.210 ; 5.550 ; 1.047 ; 2.327 ; 2.177 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 14.502 ; 7.018 ; 3.238 ; 2.514 ; 1.266 ; 7.484 ; 1.892 ; 2.450 ; 3.142 ;;;;;
BOLÍVAR; 9.871 ; 4.883 ; 2.183 ; 2.362 ; 338 ; 4.988 ; 899 ; 2.044 ; 2.045 ;;;;;
CAÑAR; 6.092 ; 2.725 ; 818 ; 1.489 ; 418 ; 3.367 ; 491 ; 1.854 ; 1.022 ;;;;;
CARCHI; 6.874 ; 4.518 ; 1.504 ; 2.671 ; 344 ; 2.356 ; 1.388 ; 139 ; 829 ;;;;;
COTOPAXI; 32.239 ; 21.783 ; 11.675 ; 9.262 ; 846 ; 10.456 ; 4.577 ; 2.219 ; 3.660 ;;;;;
CHIMBORAZO; 28.313 ; 14.606 ; 8.843 ; 4.542 ; 1.221 ; 13.707 ; 4.608 ; 3.242 ; 5.858 ;;;;;
IMBABURA; 17.901 ; 15.693 ; 6.920 ; 6.158 ; 2.615 ; 2.208 ; 835 ; 608 ; 765 ;;;;;
LOJA; 5.671 ; 2.527 ; 558 ; 1.355 ; 613 ; 3.144 ; 279 ; 1.309 ; 1.556 ;;;;;
PICHINCHA; 17.947 ; 10.511 ; 3.361 ; 4.493 ; 2.657 ; 7.436 ; 2.330 ; 3.005 ; 2.101 ;;;;;
TUNGURAHUA; 23.008 ; 13.825 ; 6.815 ; 5.256 ; 1.754 ; 9.183 ; 3.268 ; 2.150 ; 3.766 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 9.241 ; 6.685 ; 1.706 ; 4.825 ; 155 ; 2.556 ; 172 ; 1.123 ; 1.261 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 3.671 ; 2.555 ; 823 ; 1.089 ; 643 ; 1.116 ; 127 ; 444 ; 545 ;;;;;
ESMERALDAS; 26.344 ; 20.660 ; 6.458 ; 13.327 ; 874 ; 5.685 ; 1.089 ; 2.618 ; 1.977 ;;;;;
GUAYAS; 3.686 ; 2.000 ; 733 ; 1.111 ; 155 ; 1.686 ; 475 ; 661 ; 550 ;;;;;
LOS RÍOS; 1.313 ; 1.003 ; 851 ; 116 ; 36 ; 311 ; 10 ; 243 ; 58 ;;;;;
MANABÍ; 20.586 ; 9.789 ; 1.041 ; 6.220 ; 2.528 ; 10.797 ; 2.137 ; 3.797 ; 4.864 ;;;;;
SANTA ELENA; 3 ; 3 ;;; 3 ;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 2.826 ; 1.121 ; 462 ; 383 ; 276 ; 1.705 ; 157 ; 969 ; 579 ;;;;;
NAPO; 1.036 ; 718 ; 79 ; 602 ; 37 ; 319 ; 7 ; 306 ; 5 ;;;;;
ORELLANA; 6.458 ; 4.946 ; 780 ; 4.159 ; 7 ; 1.512 ; 462 ; 407 ; 643 ;;;;;
PASTAZA; 1.221 ; 960 ; 254 ; 706 ;; 261 ; 54 ; 16 ; 191 ;;;;;
SUCUMBÍOS; 4.153 ; 3.488 ; 595 ; 2.187 ; 707 ; 665 ; 132 ; 225 ; 308 ;;;;;
ZAMORA CHINCHIPE; 1.924 ; 835 ; 272 ; 379 ; 184 ; 1.089 ; 234 ; 404 ; 451 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
