;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 29.896 ; 16.787 ; 12.291 ; 3.082 ; 1.414 ; 13.109 ; 2.016 ; 3.610 ; 7.484 ;;;;;
REGIÓN SIERRA; 22.161 ; 14.324 ; 10.967 ; 2.224 ; 1.133 ; 7.837 ; 972 ; 2.215 ; 4.651 ;;;;;
REGIÓN COSTA; 6.930 ; 2.143 ; 1.161 ; 725 ; 256 ; 4.788 ; 1.005 ; 1.226 ; 2.557 ;;;;;
REGIÓN AMAZÓNICA; 805 ; 321 ; 163 ; 133 ; 25 ; 484 ; 39 ; 169 ; 276 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 10.611 ; 9.976 ; 9.710 ; 197 ; 70 ; 634 ; 71 ; 331 ; 233 ;;;;;
BOLÍVAR; 2.528 ; 745 ; 250 ; 363 ; 131 ; 1.783 ; 380 ; 418 ; 985 ;;;;;
CAÑAR; 199 ; 51 ;; 51 ;; 148 ;; 34 ; 114 ;;;;;
CARCHI; 605 ; 206 ; 6 ; 196 ; 5 ; 399 ; 1 ; 121 ; 277 ;;;;;
COTOPAXI; 1.770 ; 1.024 ; 136 ; 639 ; 249 ; 746 ; 8 ; 164 ; 575 ;;;;;
CHIMBORAZO; 825 ; 363 ; 168 ; 42 ; 153 ; 462 ; 16 ; 75 ; 371 ;;;;;
IMBABURA; 1.296 ; 306 ; 172 ; 39 ; 95 ; 990 ; 71 ; 465 ; 454 ;;;;;
LOJA; 354 ; 129 ; 18 ; 112 ;; 224 ; 8 ; 91 ; 125 ;;;;;
PICHINCHA; 1.685 ; 539 ; 82 ; 410 ; 47 ; 1.146 ; 98 ; 306 ; 742 ;;;;;
TUNGURAHUA; 986 ; 520 ; 135 ; 56 ; 329 ; 466 ; 123 ; 98 ; 245 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 1.304 ; 465 ; 290 ; 120 ; 55 ; 838 ; 196 ; 112 ; 531 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 779 ; 327 ; 26 ; 246 ; 55 ; 452 ; 35 ; 181 ; 235 ;;;;;
ESMERALDAS; 1.388 ; 492 ; 193 ; 222 ; 77 ; 896 ; 419 ; 228 ; 250 ;;;;;
GUAYAS; 1.017 ; 344 ; 234 ; 49 ; 61 ; 674 ; 41 ; 276 ; 356 ;;;;;
LOS RÍOS; 222 ; 47 ; 9 ; 22 ; 16 ; 175 ; 29 ; 32 ; 114 ;;;;;
MANABÍ; 3.509 ; 932 ; 699 ; 185 ; 48 ; 2.577 ; 481 ; 499 ; 1.596 ;;;;;
SANTA ELENA; 14 ;;;;; 14 ;; 10 ; 4 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 499 ; 115 ;; 101 ; 14 ; 384 ; 37 ; 154 ; 194 ;;;;;
NAPO; 18 ; 16 ; 16 ;;; 2 ;; 2 ;;;;;;
ORELLANA; 73 ; 28 ;; 28 ;; 44 ;;; 44 ;;;;;
PASTAZA; 11 ;;;;; 11 ;; 11 ; 0 ;;;;;
SUCUMBÍOS; 189 ; 150 ; 147 ; 4 ;; 38 ;; 2 ; 36 ;;;;;
ZAMORA CHINCHIPE; 15 ; 11 ;;; 11 ; 4 ; 2 ;; 2 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
