;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;;;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;;;;
TOTAL NACIONAL; 12.212 ; 5.720 ; 1.346 ; 2.643 ; 1.730 ; 6.492 ; 505 ; 1.144 ; 4.843 ;;;;;;;;;
REGIÓN SIERRA; 7.277 ; 3.321 ; 441 ; 1.630 ; 1.250 ; 3.955 ; 329 ; 825 ; 2.801 ;;;;;;;;;
REGIÓN COSTA; 4.176 ; 2.004 ; 752 ; 910 ; 342 ; 2.173 ; 176 ; 261 ; 1.736 ;;;;;;;;;
REGIÓN AMAZÓNICA; 759 ; 395 ; 153 ; 103 ; 139 ; 364 ; -   ; 58 ; 306 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
AZUAY; 1.274 ; 350 ; 109 ; 149 ; 93 ; 924 ; 40 ; 105 ; 779 ;;;;;;;;;
BOLÍVAR; 270 ; 76 ; -   ; 76 ; -   ; 194 ; -   ; 52 ; 142 ;;;;;;;;;
CAÑAR; 174 ; 60 ; -   ; -   ; 60 ; 114 ; 35 ; 35 ; 43 ;;;;;;;;;
CARCHI; 134 ; 17 ; -   ; 2 ; 14 ; 117 ; -   ; -   ; 117 ;;;;;;;;;
COTOPAXI; 660 ; 282 ; 72 ; 70 ; 140 ; 378 ; 125 ; 49 ; 205 ;;;;;;;;;
CHIMBORAZO; 789 ; 352 ; 50 ; 241 ; 61 ; 437 ; 109 ; 3 ; 325 ;;;;;;;;;
IMBABURA; 539 ; 420 ; -   ; 2 ; 418 ; 119 ; -   ; 8 ; 111 ;;;;;;;;;
LOJA; 529 ; 229 ; 1 ; 202 ; 26 ; 299 ; -   ; 4 ; 295 ;;;;;;;;;
PICHINCHA; 2.235 ; 1.141 ; 60 ; 710 ; 371 ; 1.094 ; 6 ; 422 ; 666 ;;;;;;;;;
TUNGURAHUA; 101 ; 101 ; 20 ; 67 ; 13 ; -   ; -   ; -   ; -   ;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 573 ; 293 ; 129 ; 111 ; 53 ; 280 ; 14 ; 148 ; 117 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
EL ORO; 492 ; 403 ; 159 ; -   ; 244 ; 89 ; 51 ; 4 ; 33 ;;;;;;;;;
ESMERALDAS; 476 ; 66 ; 9 ; 57 ; -   ; 411 ; 12 ; 58 ; 341 ;;;;;;;;;
GUAYAS; 11 ; 1 ; -   ; 1 ; -   ; 10 ; -   ; -   ; 10 ;;;;;;;;;
LOS RÍOS; 421 ; 132 ; 4 ; 73 ; 55 ; 289 ; 27 ; 17 ; 244 ;;;;;;;;;
MANABÍ; 2.777 ; 1.402 ; 580 ; 780 ; 42 ; 1.375 ; 86 ; 182 ; 1.107 ;;;;;;;;;
SANTA ELENA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 528 ; 235 ; 74 ; 44 ; 117 ; 293 ; -   ; 58 ; 235 ;;;;;;;;;
NAPO; 39 ; 39 ; -   ; 26 ; 13 ; -   ; -   ; -   ; -   ;;;;;;;;;
ORELLANA; 31 ; 1 ; 1 ; -   ; -   ; 30 ; -   ; -   ; 30 ;;;;;;;;;
PASTAZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;
SUCUMBÍOS; 81 ; 48 ; 15 ; 33 ; -   ; 33 ; -   ; 0 ; 32 ;;;;;;;;;
ZAMORA CHINCHIPE; 81 ; 72 ; 63 ; -   ; 9 ; 9 ; -   ; -   ; 9 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;;;;;
