;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL; 522.020 ; 341.106 ; 84.335 ; 164.697 ; 92.074 ; 180.914 ; 15.874 ; 41.073 ; 123.968 ;;;;;
REGIÓN SIERRA; 282.376 ; 193.602 ; 60.383 ; 86.230 ; 46.989 ; 88.774 ; 10.510 ; 20.837 ; 57.427 ;;;;;
REGIÓN COSTA; 190.980 ; 115.316 ; 19.884 ; 59.478 ; 35.954 ; 75.664 ; 4.149 ; 16.789 ; 54.726 ;;;;;
REGIÓN AMAZÓNICA; 48.664 ; 32.187 ; 4.067 ; 18.989 ; 9.131 ; 16.477 ; 1.215 ; 3.447 ; 11.815 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 31.173 ; 18.910 ; 9.337 ; 4.822 ; 4.752 ; 12.263 ; 2.470 ; 2.381 ; 7.413 ;;;;;
BOLÍVAR; 18.483 ; 10.337 ; 982 ; 6.698 ; 2.657 ; 8.146 ; 713 ; 2.700 ; 4.733 ;;;;;
CAÑAR; 9.103 ; 5.988 ; 3.652 ; 766 ; 1.570 ; 3.115 ; 468 ; 899 ; 1.748 ;;;;;
CARCHI; 11.753 ; 8.019 ; 4.567 ; 2.527 ; 924 ; 3.734 ; 581 ; 720 ; 2.433 ;;;;;
COTOPAXI; 26.845 ; 18.185 ; 6.581 ; 5.577 ; 6.027 ; 8.661 ; 1.379 ; 1.240 ; 6.042 ;;;;;
CHIMBORAZO; 68.124 ; 53.155 ; 4.257 ; 42.730 ; 6.168 ; 14.969 ; 1.261 ; 5.834 ; 7.874 ;;;;;
IMBABURA; 20.343 ; 15.428 ; 3.257 ; 3.565 ; 8.606 ; 4.914 ; 202 ; 908 ; 3.804 ;;;;;
LOJA; 13.905 ; 7.098 ; 1.323 ; 3.490 ; 2.285 ; 6.807 ; 906 ; 1.959 ; 3.943 ;;;;;
PICHINCHA; 40.103 ; 28.213 ; 17.442 ; 4.859 ; 5.912 ; 11.890 ; 922 ; 1.454 ; 9.514 ;;;;;
TUNGURAHUA; 21.286 ; 14.650 ; 6.470 ; 2.235 ; 5.945 ; 6.635 ; 1.139 ; 1.128 ; 4.369 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 21.258 ; 13.620 ; 2.517 ; 8.962 ; 2.141 ; 7.639 ; 470 ; 1.615 ; 5.554 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 16.077 ; 9.538 ; 1.468 ; 4.878 ; 3.193 ; 6.539 ; 457 ; 1.384 ; 4.699 ;;;;;
ESMERALDAS; 53.758 ; 38.841 ; 2.170 ; 13.705 ; 22.966 ; 14.917 ; 219 ; 2.335 ; 12.362 ;;;;;
GUAYAS; 21.476 ; 13.651 ; 2.097 ; 9.878 ; 1.676 ; 7.826 ; 224 ; 2.048 ; 5.553 ;;;;;
LOS RÍOS; 8.380 ; 6.182 ; 1.504 ; 3.885 ; 794 ; 2.198 ; 38 ; 779 ; 1.381 ;;;;;
MANABÍ; 91.245 ; 47.074 ; 12.630 ; 27.119 ; 7.325 ; 44.171 ; 3.211 ; 10.242 ; 30.718 ;;;;;
SANTA ELENA; 43 ; 30 ; 15 ; 14 ; 1 ; 13 ;;; 13 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 10.559 ; 6.618 ; 828 ; 3.502 ; 2.288 ; 3.941 ; 255 ; 1.726 ; 1.959 ;;;;;
NAPO; 2.735 ; 2.302 ; 1.281 ; 529 ; 492 ; 433 ; 99 ; 3 ; 332 ;;;;;
ORELLANA; 7.961 ; 6.205 ; 356 ; 5.341 ; 509 ; 1.756 ; 1 ; 328 ; 1.427 ;;;;;
PASTAZA; 2.286 ; 1.323 ; 62 ; 944 ; 317 ; 962 ;; 268 ; 694 ;;;;;
SUCUMBÍOS; 18.182 ; 11.289 ; 1.289 ; 5.170 ; 4.830 ; 6.892 ; 642 ; 1.062 ; 5.189 ;;;;;
ZAMORA CHINCHIPE; 6.942 ; 4.449 ; 252 ; 3.502 ; 695 ; 2.493 ; 218 ; 61 ; 2.214 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
