;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO PORCINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;1.053.923;302.122;751.801;455.638;112.296;343.343;;;;;
REGIÓN SIERRA;636.335;178.891;457.445;262.586;69.564;193.022;;;;;
REGIÓN COSTA;381.283;113.968;267.315;183.761;40.459;143.302;;;;;
REGIÓN AMAZÓNICA;36.305;9.263;27.041;9.292;2.273;7.018;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;45.252;10.633;34.619;9.342;2.589;6.753;;;;;
BOLÍVAR;39.043;8.119;30.924;8.122;2.517;5.605;;;;;
CAÑAR;25.182;9.020;16.162;10.631;3.490;7.141;;;;;
CARCHI;29.269;11.580;17.689;24.904;393;24.512;;;;;
COTOPAXI;117.291;33.137;84.155;42.802;27.240;15.563;;;;;
CHIMBORAZO;96.401;32.698;63.703;10.365;3.709;6.656;;;;;
IMBABURA;23.499;4.527;18.972;4.625;660;3.965;;;;;
LOJA;29.931;9.593;20.339;6.864;3.534;3.330;;;;;
PICHINCHA;49.714;12.799;36.915;19.707;9.705;10.002;;;;;
TUNGURAHUA;52.635;13.999;38.635;14.997;1.404;13.593;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;128.118;32.786;95.331;110.226;14.324;95.902;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;43.459;20.129;23.330;11.870;2.419;9.451;;;;;
ESMERALDAS;38.942;11.534;27.408;9.154;4.233;4.921;;;;;
GUAYAS;90.035;27.242;62.793;48.674;2.061;46.613;;;;;
LOS RÍOS;71.023;17.112;53.911;18.148;5.760;12.388;;;;;
MANABÍ;121.089;32.053;89.035;56.428;25.986;30.442;;;;;
SANTA ELENA;16.735;5.898;10.837;39.485;;39.485;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;6.069;1.541;4.528;3.663;933;2.729;;;;;
NAPO;4.218;2.148;2.070;423;173;250;;;;;
ORELLANA;8.110;2.086;6.023;1.002;145;857;;;;;
PASTAZA;3.112;1.023;2.089;324;;324;;;;;
SUCUMBÍOS;9.954;1.156;8.798;2.782;380;2.401;;;;;
ZAMORA CHINCHIPE;4.841;1.308;3.532;1.098;642;457;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2021;;;;;;;;;;;
