;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;TOTAL;GANADO PORCINO;;;;ÍNDICE;;;
;;De Raza;Mestizo;Criollo;;;;;
TOTAL NACIONAL;1.053.923;457.997;285.876;310.049;;;;;
REGIÓN SIERRA;636.335;258.694;176.168;201.474;;;;;
REGIÓN COSTA;381.283;183.977;99.158;98.148;;;;;
REGIÓN AMAZÓNICA;36.305;15.327;10.550;10.427;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;45.252;11.321;13.329;20.602;;;;;
BOLÍVAR;39.043;6.576;11.161;21.306;;;;;
CAÑAR;25.182;10.799;4.405;9.979;;;;;
CARCHI;29.269;27.193;1.078;999;;;;;
COTOPAXI;117.291;34.364;39.552;43.376;;;;;
CHIMBORAZO;96.401;16.715;37.724;41.961;;;;;
IMBABURA;23.499;3.183;8.829;11.487;;;;;
LOJA;29.931;4.413;3.603;21.915;;;;;
PICHINCHA;49.714;20.954;15.630;13.130;;;;;
TUNGURAHUA;52.635;23.262;15.546;13.827;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;128.118;99.916;25.311;2.891;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;43.459;29.271;6.547;7.641;;;;;
ESMERALDAS;38.942;14.816;11.965;12.161;;;;;
GUAYAS;90.035;51.161;18.796;20.079;;;;;
LOS RÍOS;71.023;45.465;12.517;13.041;;;;;
MANABÍ;121.089;42.508;33.563;45.018;;;;;
SANTA ELENA;16.735;757;15.770;208;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;6.069;1.032;2.780;2.258;;;;;
NAPO;4.218;3.726;440;52;;;;;
ORELLANA;8.110;2.949;2.064;3.097;;;;;
PASTAZA;3.112;1.716;882;515;;;;;
SUCUMBÍOS;9.954;3.161;3.176;3.617;;;;;
ZAMORA CHINCHIPE;4.841;2.743;1.209;889;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;
