;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
CULTIVOS TRANSITORIOS;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;; ÍNDICE ;;;
;; Sembrada ; Cosechada ;;;;;;;
TOTAL NACIONAL;Solo; 948.999 ; 923.693 ;;;;;;;
;Asociado; 57.434 ; 52.914 ;;;;;;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 342.421 ; 339.735 ; 1.503.527 ; 1.445.661 ;;;;;
;Asociado; 546 ; 546 ; 687 ; 621 ;;;;;
ARVEJA SECA (GRANO SECO);Solo; 1.255 ; 1.126 ; 415 ; 191 ;;;;;
;Asociado; 93 ; 76 ; 8 ; 1 ;;;;;
ARVEJA TIERNA (EN VAINA);Solo; 5.990 ; 5.425 ; 16.837 ; 16.052 ;;;;;
;Asociado; 554 ; 338 ; 420 ; 257 ;;;;;
BROCOLI (REPOLLO);Solo; 7.133 ; 7.039 ; 129.533 ; 128.992 ;;;;;
;Asociado; 42 ; 24 ; 231 ; 230 ;;;;;
CEBADA (GRANO SECO);Solo; 10.527 ; 9.707 ; 14.681 ; 9.338 ;;;;;
;Asociado;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4.845 ; 4.775 ; 12.191 ; 11.750 ;;;;;
;Asociado;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 17.432 ; 16.863 ; 12.944 ; 11.804 ;;;;;
;Asociado; 13.918 ; 12.676 ; 4.773 ; 2.632 ;;;;;
FRÉJOL TIERNO (VAINA);Solo; 4.509 ; 4.387 ; 11.859 ; 11.410 ;;;;;
;Asociado; 5.005 ; 4.736 ; 5.818 ; 4.988 ;;;;;
HABA SECA (GRANO SECO);Solo; 2.200 ; 2.091 ; 2.957 ; 1.038 ;;;;;
;Asociado; 1.366 ; 1.252 ; 353 ; 11 ;;;;;
HABA TIERNA (VAINA);Solo; 6.109 ; 5.606 ; 24.081 ; 22.367 ;;;;;
;Asociado; 980 ; 869 ; 564 ; 250 ;;;;;
MAÍZ DURO CHOCLO (CHOCLO);Solo; 3.890 ; 3.775 ; 22.035 ; 18.087 ;;;;;
;Asociado; 364 ; 364 ; 370 ; 313 ;;;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 360.924 ; 353.798 ; 1.657.355 ; 1.610.121 ;;;;;
;Asociado; 12.663 ; 12.340 ; 42.014 ; 38.976 ;;;;;
MAÍZ SUAVE CHOCLO (CHOCLO);Solo; 22.587 ; 20.926 ; 81.667 ; 73.206 ;;;;;
;Asociado; 1.882 ; 1.659 ; 3.151 ; 1.468 ;;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 37.639 ; 33.957 ; 35.898 ; 22.607 ;;;;;
;Asociado; 13.769 ; 12.582 ; 6.915 ; 1.289 ;;;;;
MANÍ (GRANO DESCASCARADO);Solo; 5.927 ; 5.914 ; 6.160 ; 5.648 ;;;;;
;Asociado; 754 ; 754 ; 731 ; 708 ;;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 20.696 ; 18.885 ; 243.329 ; 218.319 ;;;;;
;Asociado; 254 ; 203 ; 1.420 ; 1.232 ;;;;;
QUINUA (GRANO SECO);Solo; 2.861 ; 2.375 ; 1.478 ; 875 ;;;;;
;Asociado; 79 ; 15 ; 3 ;;;;;;
SOYA (GRANO SECO);Solo; 18.808 ; 18.807 ; 20.077 ; 19.840 ;;;;;
;Asociado;;;;;;;;;
TABACO (HOJA SECA);Solo; 9.085 ; 9.085 ; 10.883 ; 10.842 ;;;;;
;Asociado;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 1.691 ; 1.650 ; 55.277 ; 54.817 ;;;;;
;Asociado;;;;;;;;;
TRIGO (GRANO SECO);Solo; 6.202 ; 6.038 ; 10.898 ; 8.323 ;;;;;
;Asociado;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 16.097 ; 15.054 ; 84.224 ; 66.593 ;;;;;
;Asociado; 2.534 ; 2.421 ; 11.987 ; 4.455 ;;;;;
OTROS TRANSITORIOS;Solo; 40.173 ; 36.676 ;;;;;;;
;Asociado; 2.632 ; 2.060 ;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
