;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO DE OTRAS ESPECIES (Machos y Hembras de toda edad);;;;;ÍNDICE;;;
;Asnal;Caballar;Mular;Caprino;;;;;
TOTAL NACIONAL;49.170;192.187;66.913;57.849;;;;;
REGIÓN SIERRA;38.187;95.512;17.666;54.825;;;;;
REGIÓN COSTA;10.401;76.358;46.484;2.912;;;;;
REGIÓN AMAZÓNICA;582;20.318;2.763;112;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;1.109;20.780;1.712;800;;;;;
BOLÍVAR;1.152;6.758;3.090;242;;;;;
CAÑAR;749;3.996;388;295;;;;;
CARCHI;170;2.923;46;123;;;;;
COTOPAXI;5.459;8.809;1.952;680;;;;;
CHIMBORAZO;17.384;14.469;2.696;751;;;;;
IMBABURA;1.647;5.140;892;1.734;;;;;
LOJA;5.266;8.006;2.836;45.727;;;;;
PICHINCHA;848;16.736;1.595;4.431;;;;;
TUNGURAHUA;3.999;5.742;292;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;406;2.150;2.167;43;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;514;7.262;1.819;155;;;;;
ESMERALDAS;1.319;20.220;10.645;520;;;;;
GUAYAS;1.275;15.926;2.398;1.705;;;;;
LOS RÍOS;420;6.471;1.540;;;;;;
MANABÍ;6.846;26.284;30.081;175;;;;;
SANTA ELENA;28;195;;357;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;127;7.523;614;12;;;;;
NAPO;9;989;67;;;;;;
ORELLANA;86;2.143;286;;;;;;
PASTAZA;93;1.200;79;;;;;;
SUCUMBÍOS;183;5.703;1.112;100;;;;;
ZAMORA CHINCHIPE;84;2.760;605;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;
