;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;TOTAL;EXISTENCIA DE AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;ÍNDICE;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollos de Engorde;Avestruces;Pavos;Codornices;;;;;
TOTAL NACIONAL;51.642.486;15.230.378;1.383.484;34.719.992;;261.057;47.574;;;;;
REGIÓN SIERRA;32.414.683;14.390.502;617.447;17.143.343;;234.818;28.574;;;;;
REGIÓN COSTA;18.437.457;723.400;686.496;16.982.322;;26.239;19.000;;;;;
REGIÓN AMAZÓNICA;790.346;116.477;79.541;594.328;;;;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;935.905;12;139.500;796.393;;;0;;;;;
BOLÍVAR;;;;;;;;;;;;
CAÑAR;453.566;;136.000;317.566;;;;;;;;
CARCHI;738.023;;33.000;677.775;;27.248;;;;;;
COTOPAXI;5.392.676;4.420.677;120.000;851.999;;;;;;;;
CHIMBORAZO;7.745.383;2.197.848;;5.547.534;;;;;;;;
IMBABURA;1.094.900;;64.000;966.900;;64.000;;;;;;
LOJA;255.719;11.900;;243.819;;;;;;;;
PICHINCHA;6.745.739;2.276.943;118.947;4.205.705;;143.570;574;;;;;
TUNGURAHUA;5.776.938;5.428.841;6.000;342.097;;0;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;3.275.835;54.281;;3.193.554;;;28.000;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;3.984.793;100.000;10.000;3.855.793;;;19.000;;;;;
ESMERALDAS;500;;;500;;;;;;;;
GUAYAS;12.174.481;40.000;414.704;11.714.538;;5.239;;;;;;
LOS RÍOS;499.192;;123.792;375.400;;;;;;;;
MANABÍ;1.638.492;583.400;138.000;917.092;;;;;;;;
SANTA ELENA;140.000;;;119.000;;21.000;;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;35.969;;2.741;33.227;;;;;;;;
NAPO;61.800;;60.800;1.000;;;;;;;;
ORELLANA;2.400;250;;2.150;;;;;;;;
PASTAZA;687.527;115.927;16.000;555.600;;;;;;;;
SUCUMBÍOS;300;300;;;;;;;;;;
ZAMORA CHINCHIPE;2.350;;;2.350;;;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;
