;;;;;;;;
;;;;;;;;
;;;;;;;;
Región y Provincia;Pollos de engorde;;;ÍNDICE;;;;
;;;;;;;;
TOTAL NACIONAL;251.366.135;;;;;;;
REGIÓN SIERRA;113.150.569;;;;;;;
REGIÓN COSTA;132.595.438;;;;;;;
REGIÓN AMAZÓNICA;5.620.128;;;;;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
AZUAY;4.040.006;;;;;;;
BOLÍVAR;;;;;;;;
CAÑAR;2.347.740;;;;;;;
CARCHI;4.841.249;;;;;;;
COTOPAXI;3.795.967;;;;;;;
CHIMBORAZO;26.602.895;;;;;;;
IMBABURA;6.738.166;;;;;;;
LOJA;1.806.507;;;;;;;
PICHINCHA;35.813.624;;;;;;;
TUNGURAHUA;2.318.712;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;24.845.702;;;;;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
EL ORO;20.289.682;;;;;;;
ESMERALDAS;1.069;;;;;;;
GUAYAS;98.768.509;;;;;;;
LOS RÍOS;2.209.835;;;;;;;
MANABÍ;10.291.860;;;;;;;
SANTA ELENA;1.034.482;;;;;;;
;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;
MORONA SANTIAGO;229.836;;;;;;;
NAPO;5.346;;;;;;;
ORELLANA;8.821;;;;;;;
PASTAZA;5.368.480;;;;;;;
SUCUMBÍOS;;;;;;;;
ZAMORA CHINCHIPE;7.644;;;;;;;
;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;
