;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;ÍNDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;245.376;1.363.907;116.206;270.774;16.900;36.027;807;1.672;;;
REGIÓN SIERRA;102.056;472.234;71.932;43.124;2.459;8.068;657;396;;;
REGIÓN COSTA;111.756;677.929;35.879;213.595;11.846;22.921;150;1.029;;;
REGIÓN AMAZÓNICA;31.564;213.745;8.394;14.055;2.596;5.038;;248;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;17.225;69.994;12.554;3.639;184;207;39;13;;;
BOLÍVAR;1.251;38.722;;15.445;12;1.498;;236;;;
CAÑAR;3.205;24.678;286;1.334;1.598;826;;;;;
CARCHI;850;11.117;488;455;;;;;;;
COTOPAXI;7.576;56.141;5.558;1.739;338;615;466;93;;;
CHIMBORAZO;10.448;69.502;2.070;4.481;;1.290;;;;;
IMBABURA;25.388;23.435;2;64;;140;;;;;
LOJA;19.402;60.971;702;2.998;;1.802;;;;;
PICHINCHA;4.943;51.884;4.525;4.232;;266;84;54;;;
TUNGURAHUA;9.640;42.047;44.748;2.110;327;336;66;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;2.127;23.742;1.000;6.628;;1.089;2;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;2.878;14.538;382;204;111;77;;;;;
ESMERALDAS;8.455;62.672;237;3.359;9;1.197;;;;;
GUAYAS;15.735;167.777;1.275;79.670;5.533;10.100;53;342;;;
LOS RÍOS;11.306;118.094;5.295;40.951;2.981;4.896;;495;;;
MANABÍ;73.371;314.386;28.690;89.246;3.212;6.472;97;171;;;
SANTA ELENA;11;460;;166;;179;;21;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;11.396;46.057;4.704;2.150;756;1.301;;;;;
NAPO;6.308;19.155;875;1.583;;4;;;;;
ORELLANA;365;30.970;;2.335;;242;;248;;;
PASTAZA;3.999;36.805;757;2.678;1.550;207;;;;;
SUCUMBÍOS;8.202;65.253;571;4.244;290;854;;;;;
ZAMORA CHINCHIPE;1.293;15.506;1.489;1.065;;2.428;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
