;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;;;;;ÍNDICE
;GALLINAS PONEDORAS;;GALLINAS REPRODUCTORAS;;POLLOS DE ENGORDE;;AVESTRUCES;;PAVOS;;CODORNICES;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;
TOTAL NACIONAL;2.117.401;162;401.696;1.371;42.447.491;263.451;0;0;273.032;;11.500;;;
REGIÓN SIERRA;1.947.001;12;201.500;;19.683.200;260.615;0;0;238.832;;9.000;;;
REGIÓN COSTA;170.100;150;199.830;;21.946.707;2.213;0;;34.200;;2.500;;;
REGIÓN AMAZÓNICA;300;;366;1.371;817.584;623;0;;;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;;2;139.000;;802.338;3.152;;0;;;;;;
BOLÍVAR;;;;;;;;;;;;;;
CAÑAR;;;;;413.593;132;;;;;;;;
CARCHI;;;10.000;;811.325;;;;25.832;;;;;
COTOPAXI;808.562;;;;1.739.646;242.020;;;;;;;;
CHIMBORAZO;;;;;5.127.704;8;;;;;;;;
IMBABURA;;;21.000;;1.322.800;15.000;;;64.000;;;;;
LOJA;100;0;;;363.379;80;;;;;;;;
PICHINCHA;423.039;;12.000;;4.876.892;101;0;;96.500;;;;;
TUNGURAHUA;706.648;0;0;;654.865;110;0;;0;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;8.652;10;19.500;;3.570.658;13;;;52.500;;9.000;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;4.000;;;;4.116.927;351;0;;;;2.500;;;
ESMERALDAS;;;;;300;;;;;;;;;
GUAYAS;20.000;;107.000;;15.468.948;10;;;13.200;;;;;
LOS RÍOS;;;52.830;;376.000;;;;;;;;;
MANABÍ;146.100;150;40.000;;1.819.532;1.851;0;;;;;;;
SANTA ELENA;;;;;165.000;;;;21.000;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;;;366;1.371;74.118;623;;;;;;;;
NAPO;;;;;1.000;;;;;;;;;
ORELLANA;;;;;1.037;;0;;;;;;;
PASTAZA;;;;;741.006;;;;;;;;;
SUCUMBÍOS;300;;;;;;;;;;;;;
ZAMORA CHINCHIPE;;;;;423;;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
