;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);Destino Principal de la leche (litros);;;;;;;ÍNDICE;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;Desperdiciada;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;846.715;5.699.046;4.262.896;385.079;106.769;933.369;3.441;7.491;;;;;
REGIÓN SIERRA;564.166;4.535.235;3.806.971;274.245;84.297;363.999;526;5.198;;;;;
REGIÓN COSTA;236.336;933.330;358.246;91.234;13.715;465.804;2.775;1.556;;;;;
REGIÓN AMAZÓNICA;46.213;230.481;97.679;19.601;8.757;103.566;141;737;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
AZUAY;102.777;777.142;575.903;59.987;6.802;133.449;80;920;;;;;
BOLÍVAR;36.772;162.633;72.912;34.064;319;55.138;;199;;;;;
CAÑAR;36.028;290.535;260.771;13.112;4.164;12.392;0;96;;;;;
CARCHI;25.471;273.029;257.576;8.662;4.584;2.099;;108;;;;;
COTOPAXI;70.916;599.506;543.524;33.550;7.453;14.699;260;20;;;;;
CHIMBORAZO;79.316;533.810;471.141;37.728;9.381;15.536;23;0;;;;;
IMBABURA;19.584;159.667;139.401;9.771;4.012;6.325;8;150;;;;;
LOJA;26.776;117.612;7.832;25.105;953;82.925;;797;;;;;
PICHINCHA;90.971;1.025.458;923.036;25.215;40.752;33.511;74;2.871;;;;;
TUNGURAHUA;49.611;409.027;380.650;21.921;4.103;2.353;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;25.942;186.818;174.226;5.130;1.774;5.572;80;36;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
EL ORO;10.414;59.540;11.317;4.111;165;43.948;;0;;;;;
ESMERALDAS;26.880;100.418;22.749;8.741;4.356;64.393;179;;;;;;
GUAYAS;31.410;118.912;55.325;16.245;204;46.558;;579;;;;;
LOS RÍOS;8.481;36.542;18.802;8.117;98;9.154;372;0;;;;;
MANABÍ;159.063;617.624;250.054;53.958;8.893;301.519;2.224;977;;;;;
SANTA ELENA;89;294;;62;;232;;;;;;;
;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;
MORONA SANTIAGO;13.627;52.128;11.118;5.294;882;34.621;;212;;;;;
NAPO;6.486;58.363;50.814;1.646;4.871;1.033;;;;;;;
ORELLANA;5.917;25.930;3.664;2.829;;19.023;141;273;;;;;
PASTAZA;1.812;12.091;9.934;327;1.618;212;;;;;;;
SUCUMBÍOS;9.234;36.293;10.073;5.752;1.137;19.331;;;;;;;
ZAMORA CHINCHIPE;9.136;45.677;12.075;3.754;250;29.346;;252;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;
