;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;HUEVOS DE MESA EN UNA SEMANA;;;;;;;;;ÍNDICE;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;
;;Autoconsumo;Ventas ;Otros;;Autoconsumo;Ventas ;Otros;;;
TOTAL NACIONAL;6.436.431;5.389.772;642.854;403.805;78.933.448;23.103;78.444.291;466.053;;;
REGIÓN SIERRA;2.746.807;2.348.497;309.445;88.865;75.389.659;21.098;75.247.361;121.199;;;
REGIÓN COSTA;2.844.022;2.367.545;231.972;244.505;3.191.075;2.005;3.183.820;5.250;;;
REGIÓN AMAZÓNICA;845.603;673.731;101.437;70.435;352.714;;13.110;339.604;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;479.130;394.212;81.776;3.142;60;5;55;;;;
BOLÍVAR;152.506;143.124;5.485;3.897;;;;;;;
CAÑAR;145.754;127.815;11.403;6.536;;;;;;;
CARCHI;80.395;69.130;5.770;5.495;;;;;;;
COTOPAXI;396.137;343.100;49.846;3.191;22.330.228;1.899;22.308.403;19.927;;;
CHIMBORAZO;421.602;386.521;23.480;11.601;13.241.718;480;13.234.518;6.720;;;
IMBABURA;142.108;125.150;8.981;7.977;;;;;;;
LOJA;280.132;227.865;46.585;5.682;4.432;50;4.382;;;;
PICHINCHA;236.843;188.063;26.139;22.641;12.996.390;2.635;12.993.755;;;;
TUNGURAHUA;310.170;257.562;43.043;9.564;26.727.437;15.610;26.617.274;94.553;;;
SANTO DOMINGO DE LOS TSÁCHILAS;102.030;85.955;6.938;9.137;89.394;420;88.974;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;72.796;65.572;5.223;2.000;560.000;;560.000;;;;
ESMERALDAS;261.228;229.724;14.741;16.763;;;;;;;
GUAYAS;484.456;381.911;24.582;77.963;83.580;;83.580;;;;
LOS RÍOS;358.262;316.879;14.658;26.725;;;;;;;
MANABÍ;1.665.637;1.372.228;172.356;121.053;2.547.495;2.005;2.540.240;5.250;;;
SANTA ELENA;1.643;1.231;412;;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;179.845;138.711;5.895;35.238;;;;;;;
NAPO;98.763;67.206;22.807;8.750;;;;;;;
ORELLANA;106.883;101.701;1.342;3.840;1.050;;1.050;;;;
PASTAZA;93.675;73.737;2.911;17.027;350.404;;10.800;339.604;;;
SUCUMBÍOS;290.165;224.471;63.341;2.353;1.260;;1.260;;;;
ZAMORA CHINCHIPE;76.272;67.905;5.141;3.226;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
