;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;;;;;;;;;
;HOMBRES;MUJERES;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TOTAL NACIONAL;72,73%;27,27%;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Menor a 1 hectárea;56,63%;43,37%;;;;;;;;;;;;;
De 1 hectárea a menos de 2 hectáreas;66,00%;34,00%;;;;;;;;;;;;;
De 2 hectáreas a menos de 3 hectáreas;71,55%;28,45%;;;;;;;;;;;;;
De 3 hectáreas a menos de 5 hectáreas;74,60%;25,40%;;;;;;;;;;;;;
De 5 hectáreas a menos de 10 hectáreas;76,38%;23,62%;;;;;;;;;;;;;
De 10 hectáreas a menos de 20 hectáreas;81,46%;18,54%;;;;;;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;82,24%;17,76%;;;;;;;;;;;;;
De 50 hectáreas a menos de 100 hectáreas;86,26%;13,74%;;;;;;;;;;;;;
De 100 hectáreas a menos de 200 hectáreas;86,62%;13,38%;;;;;;;;;;;;;
Mayor a 200 hectáreas;88,56%;11,44%;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;INSTRUCCIÓN FORMAL;;;;;;;;;;;;;;
;PRIMARIA/EDUCACIÓN PRIMARIA;SECUNDARIA/ EDUCACIÓN SECUNDARIA;SUPERIOR;POSGRADO;NINGUNA;;;;;;;;;;
;;;;;;;;;;;;;;;
TOTAL NACIONAL;55,62%;18,04%;11,06%;1,08%;14,20%;;;;;;;;;;
;;;;;;;;;;;;;;;
Menor a 1 hectárea;59,40%;16,40%;4,51%;0,25%;19,4%;;;;;;;;;;
De 1 hectárea a menos de 2 hectáreas;60,02%;16,12%;5,08%;0,60%;18,2%;;;;;;;;;;
De 2 hectáreas a menos de 3 hectáreas;62,01%;16,76%;5,65%;0,38%;15,2%;;;;;;;;;;
De 3 hectáreas a menos de 5 hectáreas;59,68%;17,96%;6,37%;0,49%;15,5%;;;;;;;;;;
De 5 hectáreas a menos de 10 hectáreas;58,63%;19,08%;7,63%;0,69%;14,0%;;;;;;;;;;
De 10 hectáreas a menos de 20 hectáreas;58,70%;17,97%;11,41%;0,87%;11,1%;;;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;52,18%;20,55%;15,37%;1,52%;10,4%;;;;;;;;;;
De 50 hectáreas a menos de 100 hectáreas;46,07%;21,00%;23,03%;2,36%;7,5%;;;;;;;;;;
De 100 hectáreas a menos de 200 hectáreas;32,73%;21,44%;36,24%;5,12%;4,5%;;;;;;;;;;
Mayor a 200 hectáreas;21,02%;19,32%;49,68%;5,60%;4,4%;;;;;;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;AUTOIDENTIFICACIÓN ÉTNICA;;;;;;;;;;;;;;
;INDÍGENA;AFROECUATORIANO;MONTUBIO;MESTIZO;BLANCO;OTRO;IGNORADO;;;;;;;;
;;;;;;;;;;;;;;;
TOTAL NACIONAL;16,37%;1,46%;10,36%;69,58%;1,50%;0,72%;0,01%;;;;;;;;
;;;;;;;;;;;;;;;
Menor a 1 hectárea;29,13%;1,01%;4,76%;63,60%;0,50%;0,99%;0,01%;;;;;;;;
De 1 hectárea a menos de 2 hectáreas;23,51%;1,33%;11,07%;62,79%;0,68%;0,63%;0,00%;;;;;;;;
De 2 hectáreas a menos de 3 hectáreas;19,40%;1,79%;12,22%;65,52%;0,73%;0,34%;0,00%;;;;;;;;
De 3 hectáreas a menos de 5 hectáreas;15,16%;1,28%;15,55%;66,70%;0,64%;0,67%;0,00%;;;;;;;;
De 5 hectáreas a menos de 10 hectáreas;11,37%;1,59%;14,32%;71,52%;0,85%;0,36%;0,00%;;;;;;;;
De 10 hectáreas a menos de 20 hectáreas;9,28%;1,62%;12,64%;74,30%;1,53%;0,60%;0,03%;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;7,62%;1,92%;10,66%;77,29%;1,98%;0,53%;0,00%;;;;;;;;
De 50 hectáreas a menos de 100 hectáreas;7,09%;1,76%;8,47%;79,22%;2,47%;0,99%;0,00%;;;;;;;;
De 100 hectáreas a menos de 200 hectáreas;3,23%;1,52%;8,16%;80,74%;5,22%;1,14%;0,00%;;;;;;;;
Mayor a 200 hectáreas;2,76%;1,62%;6,25%;77,84%;9,58%;1,79%;0,16%;;;;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;EDAD;;;;;;;;;;;;;;
; Entre 15 y 24 años;Entre 25 y 34 años; Entre 35 y 44años;Entre 45 y 64 años;65 años y más; No informa;;;;;;;;;
