;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ESPECIE DE FLOR;;SUPERFICIE (Has.);;Producción;Ventas (en unidades);;;;;ÍNDICE
;;Plantada o Sembrada;Cosechada o Cortada;N° total de tallos cortados;Full Tabaco;Tabaco;Bonche;Bouquet;;
TOTAL NACIONAL;Bajo invernadero;6.579;6.092;3.968.209.502;3.032.217;5.613.483;61.238.850;17.777.757;;
;En campo abierto;885;870;447.893.520;5.793;506.357;13.888.335;4.069.185;;
;;;;;;;;;;
FLORES PERMANENTES;;;;;;;;;;
TOTAL PERMANENTES;Bajo invernadero; 6.223 ; 5.743 ; 3.868.669.281 ; 2.963.740 ; 5.307.625 ; 55.734.225 ; 17.738.611 ;;
;En campo abierto; 415 ; 402 ; 355.045.436 ; 5.793 ; 299.383 ; 7.592.803 ; 3.461.778 ;;
CLAVEL;Bajo invernadero; 86 ; 80 ; 142.064.261 ; 31.054 ; 146.250 ; 2.679.082 ;;;
;En campo abierto; 2 ; 2 ; 567.974 ;;;; 183.644 ;;
GINGER;Bajo invernadero;;;;;;;;;
;En campo abierto; 10 ; 10 ; 5.848.812 ;;;; 487.401 ;;
GYSOPHILIA;Bajo invernadero; 20 ; 17 ; 47.975.963 ; 26.782 ;; 1.460.000 ; 156.724 ;;
;En campo abierto; 177 ; 173 ; 236.470.085 ;; 124.583 ; 6.324.750 ; 633.993 ;;
HELICONIAS;Bajo invernadero;;;;;;;;;
;En campo abierto; 7 ; 7 ; 8.530.524 ;;;; 710.877 ;;
HYPERICUM;Bajo invernadero; 8 ; 8 ; 10.243.077 ; 27.691 ;;;;;
;En campo abierto; 88 ; 83 ; 71.641.607 ; 5.793 ; 122.320 ; 371.725 ; 1.378.482 ;;
LIMONIUM;Bajo invernadero; 15 ; 14 ; 6.268.296 ;; 882 ; 319.800 ; 275.380 ;;
;En campo abierto; 10 ; 10 ; 5.309.667 ;; 460 ; 506.557 ;;;
ROSA;Bajo invernadero; 6.032 ; 5.561 ; 3.632.774.677 ; 2.830.960 ; 5.159.435 ; 50.847.818 ; 16.423.832 ;;
;En campo abierto; 20 ; 20 ; 15.222.916 ;; 41.367 ; 183.828 ;;;
OTRAS FLORES PERMANENTES;Bajo invernadero; 63 ; 63 ; 29.343.006 ; 47.253 ; 1.058 ; 427.525 ; 882.675 ;;
;En campo abierto; 101 ; 98 ; 11.453.850 ;; 10.653 ; 205.943 ; 67.381 ;;
;;;;;;;;;;
FLORES TRANSITORIAS;;;;;;;;;;
TOTAL TRANSITORIOS;Bajo invernadero; 356 ; 349 ; 99.540.221 ; 68.477 ; 305.858 ; 5.504.625 ; 39.146 ;;
;En campo abierto; 470 ; 468 ; 92.848.084 ;; 206.974 ; 6.295.532 ; 607.407 ;;
AMY;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
ASTER;Bajo invernadero; 42 ; 42 ; 10.372.000 ;; 11.391 ; 1.489.600 ;;;
;En campo abierto; 11 ; 11 ; 4.533.158 ;; 3.273 ; 265.196 ;;;
CRISANTEMOS;Bajo invernadero; 53 ; 53 ; 28.900.000 ;; 176.572 ; 10.560 ;;;
;En campo abierto; 5 ; 5 ; 1.811.370 ;;; 1.777 ; 558.400 ;;
DELPHINIUM;Bajo invernadero; 55 ; 53 ; 5.663.700 ; 3.662 ; 3.512 ; 319.200 ;;;
;En campo abierto; 49 ; 49 ; 3.326.010 ;; 248 ; 286.358 ;;;
GIRASOLES;Bajo invernadero; 14 ; 14 ; 3.000.000 ;; 1.188 ; 201.600 ;;;
;En campo abierto; 95 ; 94 ; 24.266.530 ;; 151.364 ; 927.975 ;;;
GODETIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
LYATRIS;Bajo invernadero;;;;;;;;;
;En campo abierto; 24 ; 24 ; 2.948.349 ;;; 294.832 ;;;
OTRAS FLORES TRANSITORIAS;Bajo invernadero; 192 ; 188 ; 51.604.521 ; 64.815 ; 113.195 ; 3.483.665 ; 39.146 ;;
;En campo abierto; 287 ; 287 ; 55.962.667 ;; 52.089 ; 4.519.394 ; 49.007 ;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
