;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 7.630 ; 4.822 ; 20.352 ; 19.512 ;;
REGI‡N SIERRA;; 6.295 ; 4.775 ; 20.203 ; 19.389 ;;
REGI‡N COSTA;; 1.335 ; 48 ; 149 ; 123 ;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 114 ; 31 ; 78 ; 21 ;;
;Asociado; 107 ; 107 ; 3 ;;;
BOL÷VAR;Solo; 30 ; 30 ; 557 ; 557 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 1.797 ; 1.329 ; 3.590 ; 3.481 ;;
;Asociado; 290 ; 216 ; 1.172 ; 1.149 ;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 11 ;;;;;
;Asociado;;;;;;
IMBABURA;Solo; 960 ; 494 ; 3.128 ; 3.052 ;;
;Asociado; 76 ;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.226 ; 984 ; 4.682 ; 4.362 ;;
;Asociado; 995 ; 969 ; 2.685 ; 2.537 ;;
TUNGURAHUA;Solo; 652 ; 587 ; 4.249 ; 4.175 ;;
;Asociado; 38 ; 29 ; 60 ; 56 ;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado; 9 ; 9 ; 49 ; 49 ;;
GUAYAS;Solo; 1 ;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 38 ; 38 ; 100 ; 74 ;;
;Asociado;;;;;;
SANTA ELENA;Solo; 1.286 ;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
