;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Regi¢n y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;÷NDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;7.761.644;3.759.096;3.502.506;458.276;41.766;;;;;
REGI‡N SIERRA;2.721.660;1.400.254;1.226.068;79.851;15.487;;;;;
REGI‡N COSTA;3.679.085;1.666.189;1.734.553;257.111;21.232;;;;;
REGI‡N AMAZ‡NICA;1.360.899;692.653;541.885;121.314;5.047;;;;;
;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;
AZUAY;457.642;283.794;161.848;9.796;2.205;;;;;
BOL÷VAR;204.949;100.707;90.541;13.337;365;;;;;
CA•AR;173.733;100.995;64.914;6.066;1.758;;;;;
CARCHI;86.835;44.547;39.644;2.250;393;;;;;
COTOPAXI;347.929;149.872;188.081;6.241;3.736;;;;;
CHIMBORAZO;285.534;131.997;144.189;7.264;2.084;;;;;
IMBABURA;191.146;99.775;84.617;6.256;498;;;;;
LOJA;344.061;201.060;131.089;10.784;1.127;;;;;
PICHINCHA;223.140;119.186;98.234;4.274;1.447;;;;;
TUNGURAHUA;179.381;63.459;112.944;2.497;481;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;227.309;104.863;109.967;11.087;1.393;;;;;
;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;
EL ORO;73.328;42.902;28.931;1.479;16;;;;;
ESMERALDAS;408.418;208.860;169.018;28.566;1.974;;;;;
GUAYAS;648.882;285.158;276.132;81.002;6.589;;;;;
LOS R÷OS;601.989;284.914;257.944;55.069;4.062;;;;;
MANAB÷;1.945.576;844.110;1.002.405;90.629;8.432;;;;;
SANTA ELENA;893;244;123;366;159;;;;;
;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;
MORONA SANTIAGO;296.098;147.105;86.083;61.970;940;;;;;
NAPO;81.246;36.751;41.137;2.596;762;;;;;
ORELLANA;197.016;102.671;89.506;4.364;475;;;;;
PASTAZA;93.469;50.280;42.400;789;;;;;;
SUCUMB÷OS;638.644;329.040;258.388;48.345;2.871;;;;;
ZAMORA CHINCHIPE;54.428;26.806;24.371;3.250;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;
