;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;EXISTENCIA DE AVES CRIADAS EN PLANTELES AV÷COLAS;;;;;;;÷NDICE;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollos de Engorde;Avestruces;Pavos;Codornices;;;;;
TOTAL NACIONAL;37.762.666;9.835.068;4.137.636;23.527.376;;137.570;125.016;;;;;
REGI‡N SIERRA;23.188.908;8.597.614;2.967.672;11.431.036;;76.570;116.016;;;;;
REGI‡N COSTA;13.315.258;1.000.000;1.077.164;11.168.095;;61.000;9.000;;;;;
REGI‡N AMAZ‡NICA;1.258.500;237.455;92.800;928.245;;;;;;;;
;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;
AZUAY;1.493.673;151.177;648;1.341.848;;;;;;;;
BOL÷VAR;130;;;130;;;;;;;;
CA•AR;2.412.200;;2.272.000;140.200;;;;;;;;
CARCHI;378.715;;38.000;340.715;;;;;;;;
COTOPAXI;3.210.507;2.471.877;10.000;728.630;;;;;;;;
CHIMBORAZO;1.503.175;176.490;117.010;1.099.159;;;110.516;;;;;
IMBABURA;1.091.120;;96.000;995.120;;;;;;;;
LOJA;721.125;8.300;;712.755;;70;;;;;;
PICHINCHA;4.188.733;1.259.413;137.000;2.767.820;;24.500;;;;;;
TUNGURAHUA;5.360.983;4.473.257;77.515;810.212;;;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;2.828.547;57.100;219.500;2.494.447;;52.000;5.500;;;;;
;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;
EL ORO;4.087.589;131.000;442.834;3.504.755;;;9.000;;;;;
ESMERALDAS;1.486;;;1.486;;;;;;;;
GUAYAS;6.723.317;29.000;331.010;6.356.307;;7.000;;;;;;
LOS R÷OS;445.921;181.000;46.120;218.802;;;;;;;;
MANAB÷;1.932.945;659.000;257.200;1.016.745;;;;;;;;
SANTA ELENA;124.000;;;70.000;;54.000;;;;;;
;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;
MORONA SANTIAGO;41.192;14.000;6.000;21.192;;;;;;;;
NAPO;65.140;30.300;32.800;2.040;;;;;;;;
ORELLANA;2.990;;;2.990;;;;;;;;
PASTAZA;1.121.060;193.155;54.000;873.905;;;;;;;;
SUCUMB÷OS;27.918;;;27.918;;;;;;;;
ZAMORA CHINCHIPE;200;;;200;;;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;
