;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;;;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Plantada Nacional ; Plantada Internacional ; Cosechada ;;;;
TOTAL NACIONAL;; 165.080 ; 36.763 ; 128.318 ; 160.630 ; 6.023.390 ; 5.917.569 ;;
REGI‡N SIERRA;; 15.778 ; 5.702 ; 10.077 ; 15.529 ; 381.109 ; 373.934 ;;
REGI‡N COSTA;; 147.989 ; 29.748 ; 118.241 ; 144.415 ; 5.639.403 ; 5.541.560 ;;
REGI‡N AMAZ‡NICA;; 1.313 ; 1.313 ;; 686 ; 2.878 ; 2.075 ;;
;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;
AZUAY;Solo; 127 ; 127 ;; 59 ; 174 ; 105 ;;
;Asociado;;;;;;;;
BOL÷VAR;Solo; 1.516 ; 1.516 ;; 1.496 ; 8.225 ; 6.436 ;;
;Asociado; 569 ; 569 ;; 564 ; 1.669 ; 1.455 ;;
CA•AR;Solo; 3.560 ; 384 ; 3.177 ; 3.559 ; 84.166 ; 84.166 ;;
;Asociado;;;;;;;;
CARCHI;Solo; 131 ; 131 ;; 92 ; 433 ; 181 ;;
;Asociado;;;;;;;;
COTOPAXI;Solo; 5.137 ; 229 ; 4.907 ; 5.136 ; 177.282 ; 174.394 ;;
;Asociado; 46 ; 46 ;; 46 ; 259 ; 259 ;;
CHIMBORAZO;Solo; 67 ; 67 ;; 67 ; 512 ; 512 ;;
;Asociado;;;;;;;;
IMBABURA;Solo; 190 ; 190 ;; 190 ; 476 ; 299 ;;
;Asociado;;;;;;;;
LOJA;Solo; 646 ; 646 ;; 559 ; 3.275 ; 2.037 ;;
;Asociado; 209 ; 209 ;; 198 ; 587 ; 291 ;;
PICHINCHA;Solo;;;;;;;;
;Asociado;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;
;Asociado;;;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 3.581 ; 1.588 ; 1.993 ; 3.565 ; 104.052 ; 103.800 ;;
;Asociado;;;;;;;;
;;;;;;;;;
REGI‡N COSTA;;;;;;;;;
EL ORO;Solo; 43.416 ; 1.828 ; 41.588 ; 43.344 ; 1.481.452 ; 1.462.290 ;;
;Asociado;;;;;;;;
ESMERALDAS;Solo; 1.051 ; 958 ; 93 ; 865 ; 10.368 ; 9.743 ;;
;Asociado; 21 ; 21 ;; 2 ; 9 ;;;
GUAYAS;Solo; 42.085 ; 7.720 ; 34.365 ; 41.591 ; 1.568.633 ; 1.552.353 ;;
;Asociado; 41 ; 41 ;; 41 ; 111 ; 111 ;;
LOS R÷OS;Solo; 55.032 ; 13.088 ; 41.944 ; 52.716 ; 2.493.492 ; 2.437.179 ;;
;Asociado; 812 ; 812 ;; 504 ; 2.239 ; 2.239 ;;
MANAB÷;Solo; 3.066 ; 2.816 ; 250 ; 2.994 ; 23.299 ; 18.727 ;;
;Asociado; 864 ; 864 ;; 757 ; 1.636 ; 754 ;;
SANTA ELENA;Solo; 1.601 ; 1.601 ;; 1.601 ; 58.163 ; 58.163 ;;
;Asociado;;;;;;;;
;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;
MORONA SANTIAGO;Solo; 724 ; 724 ;; 313 ; 1.850 ; 1.508 ;;
;Asociado;;;;;;;;
NAPO;Solo; 42 ; 42 ;; 42 ; 219 ; 217 ;;
;Asociado;;;;;;;;
ORELLANA;Solo;;;;;;;;
;Asociado;;;;;;;;
PASTAZA;Solo;;;;;;;;
;Asociado;;;;;;;;
SUCUMB÷OS;Solo; 318 ; 318 ;; 215 ; 536 ; 350 ;;
;Asociado;;;;;;;;
ZAMORA CHINCHIPE;Solo; 162 ; 162 ;; 71 ; 172 ;;;
;Asociado; 67 ; 67 ;; 45 ; 102 ;;;
;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
