;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 10.136 ; 10.094 ; 183.175 ; 172.803 ;;
REGI‡N SIERRA;; 10.136 ; 10.094 ; 183.175 ; 172.803 ;;
REGI‡N COSTA;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 1 ; 1 ; 10 ; 5 ;;
;Asociado; 31 ; 31 ; 210 ; 210 ;;
BOL÷VAR;Solo;;;;;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 9.424 ; 9.420 ; 175.192 ; 164.891 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 239 ; 235 ; 2.938 ; 2.877 ;;
;Asociado;;;;;;
IMBABURA;Solo; 82 ; 82 ; 1.117 ; 1.117 ;;
;Asociado;;;;;;
LOJA;Solo; 7 ; 6 ; 8 ; 8 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 323 ; 290 ; 3.143 ; 3.138 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 30 ; 30 ; 556 ; 556 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
