;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 34.789 ; 26.909 ; 5.280 ; 5.032 ;;
REGI‡N SIERRA;; 6.362 ; 5.019 ; 691 ; 583 ;;
REGI‡N COSTA;; 13.531 ; 10.884 ; 2.012 ; 1.901 ;;
REGI‡N AMAZ‡NICA;; 14.895 ; 11.006 ; 2.577 ; 2.548 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 206 ; 99 ; 29 ; 2 ;;
;Asociado; 39 ; 36 ; 2 ; 1 ;;
BOL÷VAR;Solo; 760 ; 760 ; 39 ; 39 ;;
;Asociado; 42 ; 42 ; 2 ; 2 ;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 149 ; 24 ; 11 ; 11 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 132 ; 132 ; 16 ; 16 ;;
;Asociado; 185 ; 158 ; 2 ; 2 ;;
CHIMBORAZO;Solo; 414 ; 414 ; 28 ; 28 ;;
;Asociado;;;;;;
IMBABURA;Solo; 58 ; 38 ; 28 ; 21 ;;
;Asociado; 109 ; 88 ; 34 ; 34 ;;
LOJA;Solo; 3.018 ; 2.335 ; 258 ; 219 ;;
;Asociado; 284 ; 191 ; 33 ; 12 ;;
PICHINCHA;Solo; 204 ; 135 ; 62 ; 55 ;;
;Asociado; 300 ; 126 ; 19 ; 13 ;;
TUNGURAHUA;Solo; 16 ; 16 ; 1 ; 1 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 166 ; 162 ; 92 ; 92 ;;
;Asociado; 281 ; 264 ; 35 ; 35 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 309 ; 306 ; 21 ; 18 ;;
;Asociado; 10 ; 10 ; 0 ; 0 ;;
ESMERALDAS;Solo; 213 ; 108 ; 46 ; 46 ;;
;Asociado; 4 ; 2 ; 1 ; 1 ;;
GUAYAS;Solo; 330 ; 258 ; 88 ; 88 ;;
;Asociado; 14 ; 14 ; 1 ; 1 ;;
LOS R÷OS;Solo; 270 ; 264 ; 37 ; 36 ;;
;Asociado; 8 ; 5 ; 0 ; 0 ;;
MANAB÷;Solo; 11.984 ; 9.680 ; 1.791 ; 1.684 ;;
;Asociado; 352 ; 199 ; 22 ; 22 ;;
SANTA ELENA;Solo; 37 ; 37 ; 5 ; 5 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 130 ; 112 ; 93 ; 93 ;;
;Asociado;;;;;;
NAPO;Solo; 662 ; 521 ; 68 ; 59 ;;
;Asociado; 83 ; 74 ; 3 ; 3 ;;
ORELLANA;Solo; 4.658 ; 3.827 ; 1.116 ; 1.110 ;;
;Asociado; 95 ;;;;;
PASTAZA;Solo; 7 ; 7 ; 0 ; 0 ;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 7.339 ; 5.008 ; 879 ; 876 ;;
;Asociado; 1.050 ; 907 ; 158 ; 158 ;;
ZAMORA CHINCHIPE;Solo; 647 ; 407 ; 237 ; 236 ;;
;Asociado; 225 ; 143 ; 23 ; 12 ;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
