;;;;;;;;
;;;;;;;;
;;;;;;;;
Tama§o de Unidad de Producci¢n Agropecuaria;SEXO;;;÷NDICE;;;;
;HOMBRES;MUJERES;;;;;;
;;;;;;;;
TOTAL NACIONAL;72,97%;27,03%;;;;;;
;;;;;;;;
Menor a 1 hect†rea;57,86%;42,14%;;;;;;
De 1 hect†rea a menos de 2 hect†reas;65,86%;34,14%;;;;;;
De 2 hect†reas a menos de 3 hect†reas;70,81%;29,19%;;;;;;
De 3 hect†reas a menos de 5 hect†reas;74,06%;25,94%;;;;;;
De 5 hect†reas a menos de 10 hect†reas;75,79%;24,21%;;;;;;
De 10 hect†reas a menos de 20 hect†reas;80,05%;19,95%;;;;;;
De 20 hect†reas a menos de 50 hect†reas;82,76%;17,24%;;;;;;
De 50 hect†reas a menos de 100 hect†reas;84,62%;15,38%;;;;;;
De 100 hect†reas a menos de 200 hect†reas;84,48%;15,52%;;;;;;
Mayor a 200 hect†reas;88,32%;11,68%;;;;;;
;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;
;;;;;;;;
;;;;;;;;
Tama§o de Unidad de Producci¢n Agropecuaria;INSTRUCCI‡N FORMAL;;;;;;;
;PRIMARIA;SECUNDARIA;SUPERIOR;POSGRADO;EDUCACI‡N BµSICA;EDUCACI‡N MEDIA;NINGUNA;NO INFORMA
;;;;;;;;
TOTAL NACIONAL;53,00%;18,24%;11,86%;0,94%;0,91%;0,21%;14,83%;0,01%
;;;;;;;;
Menor a 1 hect†rea;54,90%;16,55%;4,47%;0,36%;0,64%;0,13%;22,96%;0,00%
De 1 hect†rea a menos de 2 hect†reas;57,75%;16,56%;5,18%;0,43%;1,25%;0,20%;18,63%;0,00%
De 2 hect†reas a menos de 3 hect†reas;60,65%;15,20%;5,77%;0,28%;0,97%;0,23%;16,86%;0,05%
De 3 hect†reas a menos de 5 hect†reas;59,81%;17,14%;7,12%;0,51%;0,99%;0,40%;14,03%;0,00%
De 5 hect†reas a menos de 10 hect†reas;58,54%;18,20%;8,39%;0,50%;1,11%;0,19%;13,03%;0,03%
De 10 hect†reas a menos de 20 hect†reas;55,92%;18,99%;11,53%;0,57%;1,11%;0,25%;11,63%;0,00%
De 20 hect†reas a menos de 50 hect†reas;51,77%;19,85%;14,64%;1,73%;1,00%;0,27%;10,71%;0,03%
De 50 hect†reas a menos de 100 hect†reas;43,21%;21,64%;23,45%;2,13%;0,94%;0,25%;8,38%;0,00%
De 100 hect†reas a menos de 200 hect†reas;29,60%;26,93%;35,46%;2,57%;0,41%;0,10%;4,93%;0,00%
Mayor a 200 hect†reas;18,26%;21,08%;51,02%;4,00%;0,24%;0,08%;5,33%;0,00%
;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;
;;;;;;;;
;;;;;;;;
Tama§o de Unidad de Producci¢n Agropecuaria;AUTOIDENTIFICACI‡N êTNICA;;;;;;;
;IND÷GENA;AFROECUATORIANO;MONTUBIO;MESTIZO;BLANCO;OTRO;;
;;;;;;;;
TOTAL NACIONAL;14,65%;1,25%;11,16%;70,27%;1,50%;1,17%;;
;;;;;;;;
Menor a 1 hect†rea;28,04%;0,73%;3,54%;65,30%;0,50%;1,89%;;
