;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 142.010 ; 139.406 ; 11.016.167 ; 4.663.456 ;;
REGI‡N SIERRA;; 28.808 ; 27.657 ; 2.530.440 ; 214.718 ;;
REGI‡N COSTA;; 112.227 ; 110.774 ; 8.416.339 ; 4.379.350 ;;
REGI‡N AMAZ‡NICA;; 975 ; 975 ; 69.388 ; 69.388 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOL÷VAR;Solo;;;;;;
;Asociado;;;;;;
CA•AR;Solo; 24.644 ; 24.588 ; 2.120.542 ; 140.655 ;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo; 2.067 ; 1.369 ; 200.807 ; 74.063 ;;
;Asociado;;;;;;
LOJA;Solo; 2.096 ; 1.700 ; 209.091 ;;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 109 ; 109 ; 1.252 ; 1.252 ;;
;Asociado;;;;;;
GUAYAS;Solo; 110.204 ; 108.751 ; 8.263.746 ; 4.233.773 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 1.914 ; 1.914 ; 151.341 ; 144.325 ;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 975 ; 975 ; 69.388 ; 69.388 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
