;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 15.976 ; 13.801 ; 374.078 ; 86.631 ;;
REGI‡N SIERRA;; 9.163 ; 8.137 ; 149.848 ; 17.418 ;;
REGI‡N COSTA;; 2.812 ; 2.618 ; 107.864 ; 64.019 ;;
REGI‡N AMAZ‡NICA;; 4.002 ; 3.046 ; 116.366 ; 5.194 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 688 ; 590 ; 19.077 ; 384 ;;
;Asociado;;;;;;
BOL÷VAR;Solo; 2.038 ; 1.833 ; 13.624 ; 739 ;;
;Asociado;;;;;;
CA•AR;Solo; 63 ; 48 ; 842 ; 459 ;;
;Asociado;;;;;;
CARCHI;Solo; 97 ; 53 ; 3.383 ;;;
;Asociado;;;;;;
COTOPAXI;Solo; 2.990 ; 2.801 ; 84.295 ; 2.584 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 36 ; 32 ; 348 ;;;
;Asociado;;;;;;
IMBABURA;Solo; 511 ; 409 ; 2.891 ; 988 ;;
;Asociado;;;;;;
LOJA;Solo; 1.202 ; 984 ; 3.209 ; 1.413 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 1.397 ; 1.358 ; 21.836 ; 10.850 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 139 ; 30 ; 344 ;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 1.068 ; 1.030 ; 6.031 ; 1.069 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 101 ; 101 ; 525 ; 201 ;;
;Asociado;;;;;;
GUAYAS;Solo; 760 ; 760 ; 62.750 ; 62.750 ;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 884 ; 727 ; 38.558 ; -   ;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 139 ; 38 ; 300 ; -   ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 61 ; 61 ; 27.550 ;;;
;Asociado;;;;;;
PASTAZA;Solo; 1.017 ; 959 ; 20.296 ; 3.330 ;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 1.279 ; 823 ; 55.326 ; 851 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 1.506 ; 1.165 ; 12.895 ; 1.013 ;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
