;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 11.634 ; 11.155 ; 14.107 ; 10.792 ;;
REGI‡N SIERRA;; 11.612 ; 11.133 ; 14.097 ; 10.792 ;;
REGI‡N COSTA;; 22 ; 22 ; 11 ;;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 49 ; 46 ; 54 ; 4 ;;
;Asociado;;;;;;
BOL÷VAR;Solo; 1.408 ; 1.355 ; 1.127 ; 696 ;;
;Asociado;;;;;;
CA•AR;Solo; 37 ; 36 ; 27 ; 5 ;;
;Asociado;;;;;;
CARCHI;Solo; 1.392 ; 1.370 ; 3.203 ; 3.082 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 1.105 ; 1.013 ; 1.490 ; 968 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 3.325 ; 3.117 ; 3.217 ; 2.241 ;;
;Asociado;;;;;;
IMBABURA;Solo; 777 ; 777 ; 1.141 ; 1.090 ;;
;Asociado;;;;;;
LOJA;Solo; 7 ; 7 ; 1 ;;;
;Asociado;;;;;;
PICHINCHA;Solo; 2.304 ; 2.288 ; 1.944 ; 1.364 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 1.206 ; 1.122 ; 1.893 ; 1.340 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 22 ; 22 ; 11 ;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
