;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Regi¢n y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;÷NDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;268.905;1.181.479;146.521;287.653;9.046;50.129;632;2.006;;;
REGI‡N SIERRA;141.197;435.473;87.901;89.015;2.058;5.194;168;259;;;
REGI‡N COSTA;90.351;577.062;30.082;176.715;3.203;35.990;465;1.567;;;
REGI‡N AMAZ‡NICA;37.357;168.945;28.539;21.923;3.786;8.945;;179;;;
;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;
AZUAY;54.056;71.909;8.696;10.458;;61;;;;;
BOL÷VAR;1.100;31.816;372;7.261;;1.863;;41;;;
CA•AR;2.895;21.485;1.119;1.356;216;45;;92;;;
CARCHI;6.147;15.290;63;910;6;254;;;;;
COTOPAXI;43.368;41.961;19.077;10.990;1.012;100;;;;;
CHIMBORAZO;6.485;43.091;3.404;13.697;;123;80;;;;
IMBABURA;6.772;32.223;12.033;1.984;;898;;92;;;
LOJA;9.230;76.538;2.433;14.396;679;258;;;;;
PICHINCHA;3.482;36.549;8.542;10.824;;341;88;34;;;
TUNGURAHUA;1.426;27.124;29.364;6.944;;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;6.234;37.486;2.798;10.195;145;1.252;;;;;
;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;
EL ORO;1.386;9.694;998;2.102;6;126;;;;;
ESMERALDAS;7.573;48.096;342;6.618;759;3.837;;;;;
GUAYAS;6.805;108.422;1.817;32.397;582;16.660;465;1.321;;;
LOS R÷OS;13.137;119.280;82;34.266;;4.670;;148;;;
MANAB÷;61.449;291.305;26.843;101.261;1.856;10.650;;99;;;
SANTA ELENA;;265;;71;;47;;;;;
;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;
MORONA SANTIAGO;13.362;29.342;3.362;7.778;3.001;2.188;;7;;;
NAPO;2.329;7.978;1.106;589;73;;;;;;
ORELLANA;12.306;21.926;22.103;6.063;;112;;;;;
PASTAZA;3.427;6.619;1.957;2.202;;;;;;;
SUCUMB÷OS;5.278;95.488;;4.830;712;6.640;;172;;;
ZAMORA CHINCHIPE; 655 ; 7.592 ; 12 ; 461 ;; 5 ;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
