;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia;AVES CRIADAS EN PLANTELES AV÷COLAS;;;;;;;;;;;;;÷NDICE
;GALLINAS PONEDORAS;;GALLINAS REPRODUCTORAS;;POLLOS DE ENGORDE;;AVESTRUCES;;PAVOS;;CODORNICES;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;
TOTAL NACIONAL;1.793.637;1.071;3.595.878;295;46.912.650;6.968;244.307;;101.040;;4.000;0;;
REGI‡N SIERRA;1.386.782;1.071;3.146.579;254;18.137.310;4.723;244.307;;31.700;;4.000;0;;
REGI‡N COSTA;245.698;0;429.199;41;27.529.917;2.181;0;;69.340;;;;;
REGI‡N AMAZ‡NICA;161.157;;20.100;;1.245.423;63;;;;;;;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY;110.934;1.021;;;872.432;1.626;;;;;;;;
BOL÷VAR;;;;;300;20;;;;;;;;
CA•AR;;;2.272.000;;150.600;39;0;;;;;;;
CARCHI;;;7.000;;443.598;176;;;;;;;;
COTOPAXI;386.302;;;;186.043;;181.307;;;;;;;
CHIMBORAZO;94.740;;171.349;254;1.256.798;;;;;;;;;
IMBABURA;;;72.000;;2.136.950;358;;;;;;;;
LOJA;1.400;50;;;387.648;50;;;;;;;;
PICHINCHA;167.000;0;;;3.610.715;179;63.000;;31.700;;;;;
TUNGURAHUA;607.446;;0;;1.081.267;1.599;;;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;18.960;;624.230;;8.010.959;676;;;;;4.000;0;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO;127.098;;208.917;;5.335.653;374;;;;;;;;
ESMERALDAS;;;;;3.012;;;;;;;;;
GUAYAS;0;0;120.000;;20.542.461;;0;;27.440;;;;;
LOS R÷OS;;;3.582;41;469.045;;0;;;;;;;
MANAB÷;118.600;;96.700;;1.179.640;1.807;0;;;;;;;
SANTA ELENA;;;0;;106;;0;;41.900;;;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO;;;;;3.300;13;;;;;;;;
NAPO;28.071;;100;;3.700;;;;;;;;;
ORELLANA;;;;;4.560;;;;;;;;;
PASTAZA;133.086;;20.000;;1.229.175;;;;;;;;;
SUCUMB÷OS;;;;;3.988;;;;;;;;;
ZAMORA CHINCHIPE;;;;;700;50;;;;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
