;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
TIPO DE CRIANZA Y ESPECIE;Existencia 1;Ventas 2;Autoconsumo 3;;ÖNDICE;;;;
;;;;;;;;;
AVES CRIADAS EN CAMPO;;;;;;;;;
Gallos y gallinas; 3.759.096 ; 268.905 ; 1.181.479 ;;;;;;
Pollitos, Pollitas, Pollos, Pollas; 3.502.506 ; 146.521 ; 287.653 ;;;;;;
Patos; 458.276 ; 9.046 ; 50.129 ;;;;;;
Pavos; 41.766 ; 632 ; 2.006 ;;;;;;
;;;;;;;;;
AVES CRIADAS EN PLANTELES AVÖCOLAS;;;;;;;;;
Gallinas Ponedoras; 9.835.068 ; 1.793.637 ; 1.071 ;;;;;;
Gallinas Reproductoras; 4.137.636 ; 3.595.878 ; 295 ;;;;;;
Pollos de Engorde; 23.527.376 ; 46.912.650 ; 6.968 ;;;;;;
Avestruces;; 244.307 ; . ;;;;;;
Pavos; 137.570 ; 101.040 ; . ;;;;;;
Codornices; 125.016 ; 4.000 ; -   ;;;;;;
;;;;;;;;;
Notas:;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
(1) Para existencia el periodo de referencia es el d¡a de la entrevista;;;;;;;;;
(2) (3) Para ventas y autoconsumo el per¡odo de referencia es del 1 de julio al 30 de septiembre 2020;;;;;;;;;
