;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;÷NDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;;;;
;;;De menos de 1 a§o de edad (Terneros);De 1 a§o a menos de 2 a§os de edad (Toretes);De 2 o m†s a§os de edad (Toros) ;;De menos de 1 a§o de edad (Terneras);De 1 a§o a menos de 2 a§os de edad (Vaconas);De 2 o m†s a§os de edad (Vacas);;;;;;
TOTAL NACIONAL; 4.335.924 ; 1.312.418 ; 497.074 ; 490.496 ; 324.848 ; 3.023.506 ; 569.392 ; 712.195 ; 1.741.919 ; 928.175 ;;;;;
REGI‡N SIERRA; 2.129.413 ; 652.341 ; 242.453 ; 230.265 ; 179.622 ; 1.477.072 ; 284.667 ; 317.463 ; 874.942 ; 471.643 ;;;;;
REGI‡N COSTA; 1.788.156 ; 507.254 ; 215.114 ; 186.024 ; 106.116 ; 1.280.902 ; 237.600 ; 325.804 ; 717.498 ; 372.732 ;;;;;
REGI‡N AMAZ‡NICA; 418.355 ; 152.823 ; 39.507 ; 74.206 ; 39.109 ; 265.532 ; 47.125 ; 68.928 ; 149.479 ; 83.800 ;;;;;
;;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;;
AZUAY; 311.649 ; 86.315 ; 33.396 ; 22.577 ; 30.342 ; 225.333 ; 37.060 ; 46.515 ; 141.758 ; 62.827 ;;;;;
BOL÷VAR; 160.383 ; 50.544 ; 21.869 ; 14.569 ; 14.106 ; 109.839 ; 25.142 ; 19.991 ; 64.706 ; 39.500 ;;;;;
CA•AR; 138.740 ; 29.604 ; 13.209 ; 4.688 ; 11.707 ; 109.135 ; 18.073 ; 26.355 ; 64.707 ; 27.890 ;;;;;
CARCHI; 93.500 ; 24.240 ; 9.115 ; 9.340 ; 5.785 ; 69.260 ; 11.792 ; 14.812 ; 42.656 ; 16.107 ;;;;;
COTOPAXI; 293.080 ; 104.848 ; 41.384 ; 43.370 ; 20.094 ; 188.231 ; 38.703 ; 42.892 ; 106.636 ; 63.509 ;;;;;
CHIMBORAZO; 320.392 ; 103.678 ; 37.907 ; 36.398 ; 29.373 ; 216.714 ; 42.262 ; 47.469 ; 126.983 ; 70.534 ;;;;;
IMBABURA; 97.010 ; 34.518 ; 10.127 ; 12.828 ; 11.563 ; 62.492 ; 11.930 ; 15.392 ; 35.170 ; 17.100 ;;;;;
LOJA; 153.994 ; 46.960 ; 17.180 ; 14.007 ; 15.773 ; 107.034 ; 21.602 ; 25.697 ; 59.734 ; 37.264 ;;;;;
PICHINCHA; 252.397 ; 58.490 ; 20.543 ; 22.144 ; 15.803 ; 193.907 ; 38.729 ; 41.779 ; 113.399 ; 62.377 ;;;;;
TUNGURAHUA; 176.658 ; 72.652 ; 23.754 ; 30.771 ; 18.127 ; 104.006 ; 22.930 ; 18.328 ; 62.748 ; 43.811 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 131.611 ; 40.492 ; 13.969 ; 19.575 ; 6.948 ; 91.119 ; 16.442 ; 18.232 ; 56.446 ; 30.723 ;;;;;
;;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;;
EL ORO; 197.213 ; 61.157 ; 17.169 ; 19.684 ; 24.305 ; 136.055 ; 23.459 ; 31.438 ; 81.159 ; 38.646 ;;;;;
ESMERALDAS; 305.514 ; 113.482 ; 33.533 ; 53.043 ; 26.907 ; 192.032 ; 35.911 ; 51.436 ; 104.685 ; 58.250 ;;;;;
GUAYAS; 254.474 ; 65.395 ; 32.878 ; 21.185 ; 11.332 ; 189.079 ; 35.776 ; 50.477 ; 102.826 ; 57.637 ;;;;;
LOS R÷OS; 75.774 ; 20.162 ; 8.174 ; 8.332 ; 3.656 ; 55.613 ; 8.566 ; 17.245 ; 29.802 ; 13.712 ;;;;;
MANAB÷; 951.769 ; 245.812 ; 123.086 ; 82.951 ; 39.775 ; 705.957 ; 133.537 ; 174.531 ; 397.889 ; 203.907 ;;;;;
SANTA ELENA; 3.413 ; 1.247 ; 274 ; 831 ; 142 ; 2.167 ; 352 ; 678 ; 1.137 ; 579 ;;;;;
;;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;;
MORONA SANTIAGO; 118.019 ; 39.568 ; 12.406 ; 15.569 ; 11.594 ; 78.451 ; 11.854 ; 18.671 ; 47.926 ; 23.823 ;;;;;
NAPO; 35.319 ; 10.132 ; 1.713 ; 6.519 ; 1.900 ; 25.187 ; 5.148 ; 5.565 ; 14.474 ; 10.860 ;;;;;
ORELLANA; 46.911 ; 21.597 ; 4.421 ; 14.715 ; 2.461 ; 25.314 ; 5.655 ; 7.613 ; 12.046 ; 8.484 ;;;;;
PASTAZA; 33.922 ; 13.786 ; 2.707 ; 4.512 ; 6.567 ; 20.136 ; 3.238 ; 7.037 ; 9.860 ; 5.006 ;;;;;
SUCUMB÷OS; 115.997 ; 45.693 ; 11.850 ; 24.701 ; 9.141 ; 70.305 ; 12.912 ; 17.322 ; 40.070 ; 21.190 ;;;;;
ZAMORA CHINCHIPE; 68.187 ; 22.047 ; 6.410 ; 8.190 ; 7.446 ; 46.140 ; 8.317 ; 12.720 ; 25.102 ; 14.436 ;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;;
