;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 19.094 ; 17.964 ; 11.873 ; 9.524 ;;
REGI‡N SIERRA;; 17.419 ; 16.361 ; 10.866 ; 8.658 ;;
REGI‡N COSTA;; 1.612 ; 1.551 ; 979 ; 865 ;;
REGI‡N AMAZ‡NICA;; 63 ; 52 ; 29 ;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 126 ; 124 ; 62 ; 58 ;;
;Asociado; 2.179 ; 1.956 ; 900 ; 113 ;;
BOL÷VAR;Solo; 4.727 ; 4.562 ; 4.255 ; 3.952 ;;
;Asociado; 1.387 ; 1.329 ; 791 ; 762 ;;
CA•AR;Solo; 11 ; 11 ; 5 ; 5 ;;
;Asociado; 1.039 ; 904 ; 159 ; 79 ;;
CARCHI;Solo; 1.059 ; 1.040 ; 955 ; 733 ;;
;Asociado; 63 ; 63 ; 29 ; 29 ;;
COTOPAXI;Solo; 1.356 ; 1.352 ; 1.302 ; 1.223 ;;
;Asociado; 12 ; 3 ; 1 ;;;
CHIMBORAZO;Solo; 1.842 ; 1.647 ; 840 ; 719 ;;
;Asociado; 18 ; 18 ; 6 ; 6 ;;
IMBABURA;Solo; 1.560 ; 1.426 ; 837 ; 694 ;;
;Asociado; 1.201 ; 1.147 ; 366 ; 87 ;;
LOJA;Solo; 439 ; 407 ; 236 ; 144 ;;
;Asociado; 245 ; 225 ; 73 ; 33 ;;
PICHINCHA;Solo; 80 ; 74 ; 26 ; 12 ;;
;Asociado; 76 ; 72 ; 24 ; 8 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 187 ; 187 ; 123 ; 64 ;;
;Asociado; 267 ; 240 ; 9 ;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 356 ; 356 ; 245 ; 237 ;;
;Asociado; 65 ; 65 ; 14 ; 14 ;;
LOS R÷OS;Solo; 38 ; 19 ; 4 ;;;
;Asociado;;;;;;
MANAB÷;Solo; 190 ; 190 ; 163 ; 163 ;;
;Asociado; 511 ; 495 ; 421 ; 388 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado; 63 ; 52 ; 29 ;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
