;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Regi¢n y Provincia;GANADO OVINO;;;;;;;÷NDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;;;
TOTAL NACIONAL;496.535;116.991;379.544;39.577;11.325;28.252;;;;;
REGI‡N SIERRA;472.653;111.057;361.596;38.368;11.315;27.053;;;;;
REGI‡N COSTA;22.253;5.624;16.629;1.193;10;1.183;;;;;
REGI‡N AMAZ‡NICA;1.629;310;1.318;16;;16;;;;;
;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;
AZUAY;75.722;19.200;56.521;3.043;560;2.484;;;;;
BOL÷VAR;21.579;5.913;15.666;2.860;8;2.852;;;;;
CA•AR;19.658;5.082;14.576;830;122;708;;;;;
CARCHI;5.956;3.809;2.147;5.133;3.579;1.554;;;;;
COTOPAXI;110.102;24.318;85.783;7.335;1.799;5.536;;;;;
CHIMBORAZO;126.592;26.433;100.159;8.083;1.458;6.624;;;;;
IMBABURA;5.338;1.234;4.105;810;75;735;;;;;
LOJA;7.607;2.371;5.236;171;152;19;;;;;
PICHINCHA;32.196;6.346;25.850;4.100;2.973;1.126;;;;;
TUNGURAHUA;67.525;16.261;51.264;6.002;588;5.414;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;379;89;290;;;;;;;;
;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;
EL ORO;8.440;2.230;6.210;104;;104;;;;;
ESMERALDAS;536;151;385;50;;50;;;;;
GUAYAS;9.521;2.272;7.249;179;;179;;;;;
LOS R÷OS;937;332;604;216;10;206;;;;;
MANAB÷;2.820;638;2.181;643;;643;;;;;
SANTA ELENA;;;;;;;;;;;
;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;
MORONA SANTIAGO;827;117;709;;;;;;;;
NAPO;252;115;136;16;;16;;;;;
ORELLANA;;;;;;;;;;;
PASTAZA;362;78;284;;;;;;;;
SUCUMB÷OS;;;;;;;;;;;
ZAMORA CHINCHIPE;188;;188;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el d°a de la entrevista;;;;;;;;;;;
(2) Para ventas el per°odo de referencia es del 1 de julio al 30 de septiembre 2020;;;;;;;;;;;
