;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Regi¢n y Provincia;GANADO PORCINO;;;;;;;÷NDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;;;
TOTAL NACIONAL;1.059.842;320.879;738.963;439.923;63.293;376.630;;;;;
REGI‡N SIERRA;569.493;160.164;409.329;208.776;29.456;179.320;;;;;
REGI‡N COSTA;441.452;148.689;292.763;217.540;28.737;188.803;;;;;
REGI‡N AMAZ‡NICA;48.897;12.026;36.871;13.608;5.101;8.507;;;;;
;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;
AZUAY;32.601;7.497;25.104;3.380;832;2.547;;;;;
BOL÷VAR;42.867;14.584;28.283;11.142;4.139;7.003;;;;;
CA•AR;16.319;5.835;10.484;2.790;332;2.458;;;;;
CARCHI;41.736;14.335;27.401;23.000;1.114;21.886;;;;;
COTOPAXI;95.192;25.656;69.536;23.866;4.961;18.905;;;;;
CHIMBORAZO;67.487;19.431;48.055;7.660;2.478;5.182;;;;;
IMBABURA;15.734;4.105;11.629;3.894;853;3.041;;;;;
LOJA;22.781;5.064;17.717;3.286;1.294;1.992;;;;;
PICHINCHA;38.006;11.166;26.840;17.887;5.194;12.693;;;;;
TUNGURAHUA;66.571;12.888;53.683;15.300;4.878;10.422;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;130.199;39.603;90.597;96.570;3.380;93.189;;;;;
;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;
EL ORO;181.404;75.918;105.487;99.299;1.578;97.721;;;;;
ESMERALDAS;38.381;14.888;23.493;11.034;3.329;7.705;;;;;
GUAYAS;70.711;20.440;50.271;43.162;7.366;35.796;;;;;
LOS R÷OS;30.954;6.439;24.516;11.987;3.346;8.641;;;;;
MANAB÷;104.586;30.834;73.751;36.973;13.118;23.855;;;;;
SANTA ELENA;15.416;170;15.246;15.086;;15.086;;;;;
;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;
MORONA SANTIAGO;4.090;836;3.254;2.001;1.125;876;;;;;
NAPO;1.857;719;1.139;675;;675;;;;;
ORELLANA;11.768;4.849;6.919;4.523;3.254;1.269;;;;;
PASTAZA;6.883;278;6.605;731;;731;;;;;
SUCUMB÷OS;19.948;4.999;14.949;3.425;470;2.955;;;;;
ZAMORA CHINCHIPE;4.350;346;4.005;2.252;252;2.000;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el d°a de la entrevista;;;;;;;;;;;
(2) Para ventas el per°odo de referencia es del 1 de julio al 30 de septiembre 2020;;;;;;;;;;;
