;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO PORCINO;;;;÷NDICE;;;
;;De Raza;Mestizo;Criollo;;;;;
TOTAL NACIONAL;1.059.842;317.077;468.631;274.134;;;;;
REGI‡N SIERRA;569.493;173.511;213.955;182.026;;;;;
REGI‡N COSTA;441.452;117.946;242.180;81.326;;;;;
REGI‡N AMAZ‡NICA;48.897;25.620;12.496;10.782;;;;;
;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;
AZUAY;32.601;894;10.159;21.547;;;;;
BOL÷VAR;42.867;5.751;10.398;26.717;;;;;
CA•AR;16.319;8.648;3.114;4.557;;;;;
CARCHI;41.736;37.652;2.002;2.081;;;;;
COTOPAXI;95.192;15.711;49.319;30.162;;;;;
CHIMBORAZO;67.487;11.192;22.157;34.138;;;;;
IMBABURA;15.734;3.003;5.891;6.839;;;;;
LOJA;22.781;1.033;4.653;17.095;;;;;
PICHINCHA;38.006;17.496;13.397;7.112;;;;;
TUNGURAHUA;66.571;30.247;19.594;16.730;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;130.199;41.881;73.271;15.047;;;;;
;;;;;;;;;
REGI‡N COSTA;;;;;;;;;
EL ORO;181.404;21.437;157.196;2.771;;;;;
ESMERALDAS;38.381;12.569;12.864;12.947;;;;;
GUAYAS;70.711;43.585;15.939;11.187;;;;;
LOS R÷OS;30.954;12.280;6.782;11.892;;;;;
MANAB÷;104.586;27.955;34.351;42.279;;;;;
SANTA ELENA;15.416;119;15.047;251;;;;;
;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;
MORONA SANTIAGO;4.090;378;2.189;1.523;;;;;
NAPO;1.857;1.070;667;121;;;;;
ORELLANA;11.768;8.059;2.899;810;;;;;
PASTAZA;6.883;5.913;900;71;;;;;
SUCUMB÷OS;19.948;6.493;5.825;7.630;;;;;
ZAMORA CHINCHIPE;4.350;3.708;16;627;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
