;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO VACUNO;;;;;;;;÷NDICE;;;
;;Brown Swiss;Brahman o ceb£;Holstein Friesian;Jersey;Mestizos;Criollos;Otra raza;;;;;
TOTAL NACIONAL;4.335.924; 305.656 ; 782.296 ; 460.602 ; 171.124 ; 1.418.949 ; 942.348 ; 254.949 ;;;;;
REGI‡N SIERRA;2.129.413; 121.971 ; 117.392 ; 398.694 ; 89.546 ; 764.248 ; 586.333 ; 51.229 ;;;;;
REGI‡N COSTA;1.788.156; 146.212 ; 615.595 ; 30.385 ; 71.566 ; 510.655 ; 299.833 ; 113.911 ;;;;;
REGI‡N AMAZ‡NICA;418.355; 37.473 ; 49.309 ; 31.523 ; 10.012 ; 144.046 ; 56.182 ; 89.809 ;;;;;
;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;
AZUAY;311.649; 9.587 ; 8.151 ; 77.388 ; 7.437 ; 104.509 ; 102.504 ; 2.073 ;;;;;
BOL÷VAR;160.383; 29.663 ; 10.862 ; 9.445 ; 6.301 ; 39.692 ; 61.841 ; 2.580 ;;;;;
CA•AR;138.740; 3.623 ; 1.078 ; 19.217 ; 10.021 ; 44.663 ; 60.102 ; 37 ;;;;;
CARCHI;93.500; 1.827 ; 1.726 ; 31.748 ; 4.410 ; 29.853 ; 20.554 ; 3.382 ;;;;;
COTOPAXI;293.080; 7.987 ; 4.690 ; 52.199 ; 8.925 ; 140.084 ; 72.200 ; 6.994 ;;;;;
CHIMBORAZO;320.392; 24.359 ; 4.416 ; 43.159 ; 15.260 ; 119.326 ; 111.894 ; 1.978 ;;;;;
IMBABURA;97.010; 1.967 ; 4.687 ; 9.560 ; 3.750 ; 46.233 ; 20.805 ; 10.009 ;;;;;
LOJA;153.994; 14.656 ; 39.818 ; 25.240 ; 5.317 ; 41.753 ; 24.659 ; 2.551 ;;;;;
PICHINCHA;252.397; 11.482 ; 15.190 ; 81.078 ; 12.748 ; 84.320 ; 38.092 ; 9.486 ;;;;;
TUNGURAHUA;176.658; 6.813 ; 190 ; 32.798 ; 6.592 ; 61.851 ; 62.605 ; 5.809 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;131.611; 10.008 ; 26.585 ; 16.862 ; 8.786 ; 51.963 ; 11.077 ; 6.331 ;;;;;
;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;
EL ORO;197.213; 18.992 ; 115.270 ; 10.941 ; 4.446 ; 24.526 ; 10.965 ; 12.072 ;;;;;
ESMERALDAS;305.514; 15.344 ; 94.276 ; 7.555 ; 4.500 ; 115.229 ; 41.536 ; 27.075 ;;;;;
GUAYAS;254.474; 19.623 ; 73.537 ; 6.655 ; 19.694 ; 91.581 ; 27.960 ; 15.423 ;;;;;
LOS R÷OS;75.774; 6.409 ; 17.859 ; 5.154 ; 1.664 ; 28.299 ; 13.872 ; 2.518 ;;;;;
MANAB÷;951.769; 85.844 ; 313.163 ; 80 ; 41.263 ; 249.809 ; 204.787 ; 56.823 ;;;;;
SANTA ELENA;3.413;; 1.490 ;;; 1.211 ; 713 ;;;;;;
;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;
MORONA SANTIAGO;118.019; 18.477 ; 9.466 ; 4.895 ; 185 ; 21.919 ; 9.101 ; 53.976 ;;;;;
NAPO;35.319; 1.539 ; 842 ; 7.759 ; 5.057 ; 14.554 ; 4.616 ; 951 ;;;;;
ORELLANA;46.911; 4.690 ; 9.325 ; 6.628 ; 1.598 ; 11.070 ; 12.079 ; 1.521 ;;;;;
PASTAZA;33.922; 1.928 ; 695 ; 1.121 ; 264 ; 9.163 ; 2.437 ; 18.313 ;;;;;
SUCUMB÷OS;115.997; 6.448 ; 24.853 ; 2.313 ; 2.491 ; 63.656 ; 14.335 ; 1.901 ;;;;;
ZAMORA CHINCHIPE;68.187; 4.390 ; 4.128 ; 8.807 ; 416 ; 23.684 ; 13.614 ; 13.147 ;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;
