;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;÷NDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 a§o de edad (Terneros);De 1 a§o a menos de 2 a§os de edad (Toretes);De 2 o m†s a§os de edad (Toros) ;;De menos de 1 a§o de edad (Terneras);De 1 a§o a menos de 2 a§os de edad (Vaconas);De 2 o m†s a§os de edad (Vacas);;;;;
TOTAL NACIONAL; 210.288 ; 141.033 ; 54.744 ; 69.543 ; 16.745 ; 69.255 ; 17.817 ; 28.753 ; 22.685 ;;;;;
REGI‡N SIERRA; 141.164 ; 94.563 ; 42.874 ; 39.270 ; 12.419 ; 46.602 ; 12.417 ; 18.738 ; 15.446 ;;;;;
REGI‡N COSTA; 42.037 ; 29.107 ; 8.743 ; 17.848 ; 2.516 ; 12.930 ; 2.667 ; 5.991 ; 4.272 ;;;;;
REGI‡N AMAZ‡NICA; 27.086 ; 17.363 ; 3.127 ; 12.425 ; 1.811 ; 9.724 ; 2.734 ; 4.024 ; 2.966 ;;;;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY; 18.121 ; 8.322 ; 3.407 ; 3.278 ; 1.637 ; 9.800 ; 2.256 ; 4.008 ; 3.535 ;;;;;
BOL÷VAR; 3.627 ; 2.338 ; 294 ; 1.820 ; 225 ; 1.289 ; 155 ; 663 ; 471 ;;;;;
CA•AR; 2.961 ; 709 ; 204 ; 194 ; 311 ; 2.252 ; 140 ; 1.731 ; 381 ;;;;;
CARCHI; 5.968 ; 3.862 ; 1.633 ; 1.816 ; 413 ; 2.106 ; 177 ; 491 ; 1.438 ;;;;;
COTOPAXI; 31.892 ; 23.922 ; 13.112 ; 10.090 ; 720 ; 7.970 ; 3.624 ; 2.913 ; 1.434 ;;;;;
CHIMBORAZO; 21.423 ; 14.294 ; 8.853 ; 3.967 ; 1.474 ; 7.129 ; 1.683 ; 3.257 ; 2.189 ;;;;;
IMBABURA; 7.183 ; 4.633 ; 1.633 ; 2.677 ; 324 ; 2.550 ; 740 ; 1.530 ; 280 ;;;;;
LOJA; 7.834 ; 3.913 ; 350 ; 1.429 ; 2.133 ; 3.921 ; 380 ; 717 ; 2.824 ;;;;;
PICHINCHA; 18.062 ; 14.407 ; 6.508 ; 6.877 ; 1.022 ; 3.655 ; 672 ; 1.549 ; 1.433 ;;;;;
TUNGURAHUA; 17.573 ; 13.341 ; 6.174 ; 5.275 ; 1.892 ; 4.232 ; 2.193 ; 1.352 ; 686 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 6.521 ; 4.822 ; 705 ; 1.847 ; 2.269 ; 1.699 ; 397 ; 528 ; 775 ;;;;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO; 4.991 ; 3.293 ; 951 ; 1.683 ; 659 ; 1.698 ; 784 ; 341 ; 572 ;;;;;
ESMERALDAS; 19.074 ; 15.552 ; 5.690 ; 8.337 ; 1.525 ; 3.522 ; 875 ; 1.909 ; 738 ;;;;;
GUAYAS; 3.018 ; 1.198 ; 711 ; 485 ; 2 ; 1.820 ; 690 ; 670 ; 460 ;;;;;
LOS R÷OS; 966 ; 732 ; 5 ; 647 ; 80 ; 234 ; 13 ; 138 ; 84 ;;;;;
MANAB÷; 13.975 ; 8.320 ; 1.385 ; 6.697 ; 237 ; 5.656 ; 304 ; 2.933 ; 2.418 ;;;;;
SANTA ELENA; 12 ; 12 ;;; 12 ;;;;;;;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 2.804 ; 1.287 ; 216 ; 389 ; 681 ; 1.517 ; 422 ; 560 ; 536 ;;;;;
NAPO; 543 ; 446 ; 23 ; 422 ;; 97 ; 23 ; 16 ; 58 ;;;;;
ORELLANA; 9.150 ; 7.482 ; 890 ; 6.488 ; 104 ; 1.668 ; 210 ; 1.343 ; 115 ;;;;;
PASTAZA; 3.472 ; 1.569 ; 905 ; 642 ; 21 ; 1.903 ; 1.879 ; 2 ; 23 ;;;;;
SUCUMB÷OS; 7.664 ; 5.363 ; 854 ; 3.934 ; 576 ; 2.301 ; 97 ; 1.104 ; 1.100 ;;;;;
ZAMORA CHINCHIPE; 3.454 ; 1.217 ; 238 ; 549 ; 429 ; 2.237 ; 102 ; 1.000 ; 1.135 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
