;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;÷NDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 a§o de edad (Terneros) ; De 1 a§o a menos de 2 a§os de edad (Toretes) ; De 2 o m†s a§os de edad (Toros)  ;; De menos de 1 a§o de edad (Terneras) ; De 1 a§o a menos de 2 a§os de edad (Vaconas) ; De 2 o m†s a§os de edad (Vacas) ;;;;;
TOTAL NACIONAL; 105.323 ; 44.809 ; 30.371 ; 9.232 ; 5.206 ; 60.515 ; 15.723 ; 10.621 ; 34.170 ;;;;;
REGI‡N SIERRA; 70.009 ; 30.963 ; 21.145 ; 6.277 ; 3.542 ; 39.046 ; 11.713 ; 6.756 ; 20.576 ;;;;;
REGI‡N COSTA; 21.159 ; 8.737 ; 6.013 ; 1.857 ; 867 ; 12.422 ; 2.774 ; 2.381 ; 7.267 ;;;;;
REGI‡N AMAZ‡NICA; 14.155 ; 5.109 ; 3.213 ; 1.099 ; 797 ; 9.046 ; 1.236 ; 1.484 ; 6.327 ;;;;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY; 7.881 ; 3.143 ; 2.165 ; 620 ; 357 ; 4.738 ; 1.213 ; 1.507 ; 2.018 ;;;;;
BOL÷VAR; 4.386 ; 1.646 ; 738 ; 555 ; 353 ; 2.740 ; 162 ; 737 ; 1.841 ;;;;;
CA•AR; 1.795 ; 406 ; 324 ; 82 ;; 1.389 ; 448 ; 146 ; 795 ;;;;;
CARCHI; 3.108 ; 786 ; 404 ; 311 ; 71 ; 2.322 ; 661 ; 253 ; 1.408 ;;;;;
COTOPAXI; 11.798 ; 5.896 ; 3.888 ; 1.307 ; 702 ; 5.902 ; 1.711 ; 921 ; 3.270 ;;;;;
CHIMBORAZO; 11.878 ; 6.523 ; 4.849 ; 873 ; 801 ; 5.355 ; 3.134 ; 515 ; 1.706 ;;;;;
IMBABURA; 3.535 ; 1.465 ; 545 ; 630 ; 290 ; 2.070 ; 306 ; 137 ; 1.627 ;;;;;
LOJA; 4.364 ; 1.546 ; 993 ; 268 ; 286 ; 2.818 ; 504 ; 827 ; 1.487 ;;;;;
PICHINCHA; 10.819 ; 4.167 ; 3.138 ; 756 ; 273 ; 6.652 ; 1.357 ; 1.345 ; 3.950 ;;;;;
TUNGURAHUA; 6.879 ; 4.157 ; 3.244 ; 533 ; 380 ; 2.722 ; 1.287 ; 194 ; 1.240 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 3.567 ; 1.229 ; 858 ; 342 ; 29 ; 2.338 ; 929 ; 175 ; 1.234 ;;;;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO; 2.245 ; 1.139 ; 646 ; 116 ; 376 ; 1.107 ; 323 ; 172 ; 611 ;;;;;
ESMERALDAS; 5.384 ; 2.622 ; 1.424 ; 1.043 ; 156 ; 2.762 ; 595 ; 757 ; 1.410 ;;;;;
GUAYAS; 2.034 ; 770 ; 733 ; 34 ; 3 ; 1.265 ; 275 ; 104 ; 886 ;;;;;
LOS R÷OS; 598 ; 143 ; 89 ; 35 ; 19 ; 455 ; 39 ; 115 ; 301 ;;;;;
MANAB÷; 10.896 ; 4.064 ; 3.122 ; 629 ; 312 ; 6.833 ; 1.542 ; 1.233 ; 4.058 ;;;;;
SANTA ELENA; 2 ;;;;; 2 ;;; 2 ;;;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 4.889 ; 1.400 ; 887 ; 273 ; 239 ; 3.489 ; 143 ; 681 ; 2.665 ;;;;;
NAPO; 3.113 ; 1.583 ; 1.512 ; 45 ; 26 ; 1.530 ; 658 ; 91 ; 781 ;;;;;
ORELLANA; 1.198 ; 678 ; 72 ; 259 ; 347 ; 520 ; 33 ; 157 ; 329 ;;;;;
PASTAZA; 442 ; 111 ; 37 ; 25 ; 49 ; 330 ; 4 ; 21 ; 305 ;;;;;
SUCUMB÷OS; 3.341 ; 1.150 ; 605 ; 435 ; 111 ; 2.190 ; 315 ; 181 ; 1.695 ;;;;;
ZAMORA CHINCHIPE; 1.173 ; 186 ; 101 ; 62 ; 24 ; 986 ; 82 ; 353 ; 551 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
